12812,LB
16130,LB
196856,LB
196917,LB
197249,LB
197674,LB
198727,LB
198867,LB
199643,LB
200817,LB
24634,LB
24892,LB
24982,LB
25471,LB
25491,LB
29070,LB
29099,LB
29623,LB
31037,LB
31126,LB
31390,LB
31587,LB
3176,LB
33862,LB
34032,LB
34062,LB
34113,LB
34356,LB
34370,LB
34708,LB
34741,LB
34884,LB
35074,LB
35197,LB
38999,LB
39010,LB
39275,LB
39402,LB
39868,LB
39918,LB
41423,LB
41833,LB
41956,LB
42003,LB
42020,LB
42183,LB
42334,LB
42828,LB
42835,LB
42852,LB
43019,LB
43056,LB
43824,LB
44189,LB
47674,LB
47719,LB
47878,LB
47935,LB
48629,LB
48740,LB
48847,LB
49004,LB
50285,LB
51558,LB
51910,LB
51938,LB
56530,LB
57256,LB
57513,LB
57937,LB
58281,LB
59931,LB
59955,LB
59989,LB
60372,LB
60398,LB
60406,LB
60999,LB
61113,LB
62144,LB
9051,LB
