country, Average Degree, Diameter, Radius, Average Path Length, Graph Density, Modularity, CommunityNumber, Connected Components, Averge Clustering Coefficient, Total Triangles
CR, 2.1, 7.0, 1.0, 2.9115191986644406, 0.05384615384615385, 0.606, 6, 3, 0.2589488636363636, 3
CU, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
CW, 2.1333333333333333, 7.0, 4.0, 3.123809523809524, 0.1523809523809524, 0.455, 3, 1, 0.0, 0
CY, 2.9047619047619047, 6.0, 1.0, 2.7170294494238156, 0.07084785133565621, 0.416, 6, 2, 0.09335143148168358, 3
CZ, 3.4269340974212033, 8.0, 4.0, 3.385008069031387, 0.009847511774198861, 0.527, 16, 1, 0.28584248422694414, 206
DE, 7.447784810126582, 7.0, 1.0, 2.9817114937048523, 0.0058969000871944436, 0.322, 18, 8, 0.5612642489378161, 18011
DK, 2.8598130841121496, 6.0, 1.0, 3.022264943890553, 0.013426352507568778, 0.56, 12, 2, 0.33097210058250826, 45
DO, 2.1333333333333333, 7.0, 4.0, 3.104761904761905, 0.1523809523809524, 0.436, 4, 1, 0.0, 0
DZ, 1.3333333333333333, 2.0, 1.0, 1.4285714285714286, 0.26666666666666666, 0.375, 2, 2, 0.0, 0
EC, 2.980392156862745, 5.0, 3.0, 2.9105882352941177, 0.0596078431372549, 0.475, 5, 1, 0.2710270471825094, 10
EE, 3.1333333333333333, 4.0, 1.0, 2.385866166353971, 0.05310734463276836, 0.352, 5, 2, 0.6476111238309621, 52
EG, 3.450980392156863, 4.0, 2.0, 2.4062745098039215, 0.06901960784313725, 0.322, 4, 1, 0.5362970475546541, 31
ES, 2.619385342789598, 10.0, 1.0, 3.861987264919295, 0.006207074272013266, 0.67, 19, 6, 0.029803419284385207, 8
EU, 1.5, 3.0, 1.0, 1.8125, 0.21428571428571427, 0.403, 3, 2, 0.0, 0
FI, 2.56, 7.0, 1.0, 3.2937530812029014, 0.014712643678160919, 0.598, 12, 4, 0.0870252228263722, 6
FJ, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 2, 2, NaN, 0
FR, 4.76010101010101, 8.0, 1.0, 3.0611201029557087, 0.0060178268142869916, 0.435, 18, 6, 0.44225343610745194, 3237
GA, 1.6, 2.0, 1.0, 1.6, 0.4, 0.0, 1, 1, 0.0, 0
GB, 8.564935064935066, 9.0, 1.0, 3.247777118341371, 0.006957705170540264, 0.307, 31, 7, 0.5007788305858677, 23878
GD, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
GE, 2.542372881355932, 6.0, 1.0, 2.8083907326236695, 0.043834015195791935, 0.464, 6, 2, 0.1428984414278532, 4
GH, 1.875, 3.0, 1.0, 1.952127659574468, 0.06048387096774194, 0.579, 5, 4, 0.409375, 2
GI, 2.4, 4.0, 2.0, 1.9555555555555555, 0.26666666666666666, 0.153, 2, 1, 0.0, 0
GM, 1.5, 2.0, 1.0, 1.5, 0.5, 0.0, 1, 1, 0.0, 0
GQ, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
GR, 2.526315789473684, 9.0, 1.0, 3.377049180327869, 0.022356776897997206, 0.589, 8, 2, 0.03927853589311923, 3
GT, 2.3076923076923075, 6.0, 1.0, 2.891696750902527, 0.09230769230769231, 0.456, 5, 2, 0.33946608946608947, 4
GU, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 2, 2, NaN, 0
GY, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
HK, 3.5428571428571427, 6.0, 1.0, 2.813875312382511, 0.011282984531392174, 0.47, 12, 3, 0.5341776514250842, 246
HN, 2.2666666666666666, 6.0, 3.0, 3.1770114942528735, 0.07816091954022988, 0.512, 3, 1, 0.0, 0
HR, 2.6451612903225805, 7.0, 1.0, 3.1868300153139355, 0.028751753155680224, 0.51, 8, 3, 0.16153865228102485, 8
HT, 1.6, 3.0, 2.0, 1.8, 0.4, 0.219, 2, 1, 0.0, 0
HU, 2.310810810810811, 6.0, 1.0, 3.2061772151898733, 0.015719801434087147, 0.659, 11, 4, 0.34720963787973247, 18
ID, 4.525525525525525, 9.0, 1.0, 3.4268555209718774, 0.006805301542143647, 0.551, 15, 3, 0.3326913159520363, 1705
IE, 1.9743589743589745, 8.0, 1.0, 4.001196172248804, 0.02564102564102564, 0.703, 14, 9, 0.056317139650472976, 2
IL, 3.148936170212766, 6.0, 3.0, 2.655762885424963, 0.01683923085675276, 0.399, 9, 1, 0.20302910931729132, 32
IN, 3.9408866995073892, 6.0, 3.0, 2.6647573694216833, 0.004859293094337101, 0.402, 14, 1, 0.7021383341936888, 887
IQ, 2.7450980392156863, 6.0, 3.0, 2.8094117647058825, 0.054901960784313725, 0.47, 6, 1, 0.19650205761316872, 5
IR, 3.5903614457831323, 6.0, 3.0, 3.0371637607833146, 0.010847013431368981, 0.492, 11, 1, 0.4182129367852424, 400
IS, 3.2888888888888888, 5.0, 3.0, 2.7535353535353537, 0.07474747474747474, 0.449, 6, 1, 0.31251948051948053, 20
IT, 6.275, 6.0, 4.0, 2.853462441314554, 0.009820031298904538, 0.383, 10, 1, 0.6614382581061807, 5558
JE, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
JM, 1.7142857142857142, 4.0, 2.0, 2.0952380952380953, 0.2857142857142857, 0.208, 2, 1, 0.0, 0
JO, 2.4, 6.0, 3.0, 2.92, 0.1, 0.485, 5, 1, 0.17466422466422465, 3
JP, 4.381125226860254, 6.0, 3.0, 2.880283781554199, 0.007965682230655007, 0.417, 13, 1, 0.5655739768813861, 895
KE, 3.1372549019607843, 6.0, 1.0, 2.7706032285471536, 0.06274509803921569, 0.439, 6, 2, 0.29109587622031063, 26
KG, 1.8333333333333333, 6.0, 1.0, 2.9361702127659575, 0.07971014492753623, 0.584, 7, 4, 0.13703703703703704, 1
KH, 3.142857142857143, 6.0, 3.0, 2.9849012775842043, 0.07665505226480836, 0.444, 6, 1, 0.1600543135025894, 9
KR, 3.6822695035460993, 6.0, 3.0, 2.5481624758220502, 0.005230496453900709, 0.394, 12, 1, 0.809871403296619, 636
KW, 2.739130434782609, 7.0, 4.0, 3.0280193236714976, 0.06086956521739131, 0.448, 5, 1, 0.0, 0
KZ, 3.103448275862069, 6.0, 3.0, 2.8692862870890137, 0.03608660785886127, 0.44, 6, 1, 0.3998028336116382, 45
LA, 1.6666666666666667, 3.0, 2.0, 1.8666666666666667, 0.3333333333333333, 0.22, 2, 1, 0.0, 0
LB, 2.4864864864864864, 4.0, 2.0, 2.390966308774528, 0.034061458718992965, 0.439, 4, 1, 0.4115434173669468, 15
LI, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.26666666666666666, 0.5, 2, 2, 0.0, 0
LK, 3.066666666666667, 3.0, 2.0, 1.9428571428571428, 0.21904761904761905, 0.193, 3, 1, 0.5806060606060607, 10
LS, 2.0, 3.0, 2.0, 1.7333333333333334, 0.4, 0.167, 2, 1, 0.0, 0
LT, 2.782608695652174, 7.0, 1.0, 3.0321148825065274, 0.030578117534639272, 0.554, 9, 3, 0.11590274841437631, 7
LU, 2.1, 6.0, 1.0, 2.8920454545454546, 0.05384615384615385, 0.507, 7, 2, 0.0, 0
LV, 2.8958333333333335, 6.0, 4.0, 3.262270942408377, 0.015161431064572425, 0.529, 10, 1, 0.08578655129648882, 12
LY, 1.5, 3.0, 2.0, 1.6666666666666667, 0.5, 0.167, 2, 1, 0.0, 0
MA, 1.6, 3.0, 2.0, 1.8, 0.4, 0.219, 2, 1, 0.0, 0
MD, 2.2028985507246377, 7.0, 1.0, 3.3164556962025316, 0.03239556692242114, 0.569, 8, 4, 0.06094028520499108, 1
ME, 2.0, 8.0, 4.0, 3.3846153846153846, 0.16666666666666666, 0.429, 4, 1, 0.0, 0
MF, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
MG, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
MK, 2.5185185185185186, 5.0, 1.0, 2.611295681063123, 0.09686609686609686, 0.403, 5, 2, 0.0, 0
ML, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
MM, 1.5555555555555556, 4.0, 1.0, 2.1363636363636362, 0.19444444444444445, 0.477, 3, 2, 0.0, 0
MN, 2.1052631578947367, 5.0, 3.0, 2.514935988620199, 0.05689900426742532, 0.401, 6, 1, 0.05471861471861472, 2
MO, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
MR, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
MT, 2.4545454545454546, 5.0, 3.0, 2.58008658008658, 0.11688311688311688, 0.445, 4, 1, 0.09285714285714286, 1
MU, 1.7142857142857142, 4.0, 1.0, 2.5172413793103448, 0.13186813186813187, 0.531, 4, 2, 0.0, 0
MW, 1.5, 3.0, 2.0, 1.6666666666666667, 0.5, 0.167, 2, 1, 0.0, 0
MX, 3.2127659574468086, 8.0, 1.0, 3.2328257584563524, 0.017180566617362614, 0.495, 11, 2, 0.17198553290985524, 44
MY, 2.5806451612903225, 7.0, 1.0, 3.3854081465728774, 0.02098085496984002, 0.593, 13, 7, 0.28372107597810925, 22
MZ, 1.7777777777777777, 6.0, 3.0, 3.0, 0.2222222222222222, 0.398, 3, 1, 0.0, 0
NA, 1.5, 2.0, 1.0, 1.5384615384615385, 0.21428571428571427, 0.444, 2, 2, 0.0, 0
NC, 1.75, 2.0, 1.0, 1.75, 0.25, 0.0, 1, 1, 0.0, 0
NE, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
NG, 2.712871287128713, 7.0, 4.0, 3.2685148514851483, 0.02712871287128713, 0.54, 7, 1, 0.1039672197485335, 10
NI, 2.3333333333333335, 5.0, 3.0, 2.242424242424242, 0.21212121212121213, 0.265, 2, 1, 0.17113095238095238, 1
NL, 9.237410071942445, 8.0, 1.0, 2.9193312530192843, 0.01664398211160801, 0.259, 12, 2, 0.5788480826212319, 7942
NO, 2.8704663212435233, 8.0, 1.0, 3.464895844814284, 0.01495034542314335, 0.574, 10, 2, 0.1895330061414152, 30
NP, 2.4705882352941178, 9.0, 5.0, 3.748663101604278, 0.0748663101604278, 0.539, 7, 1, 0.2023148148148148, 4
NZ, 2.4919354838709675, 8.0, 1.0, 3.984645234670324, 0.010088807627007966, 0.692, 13, 2, 0.19249315831873667, 21
OM, 2.3333333333333335, 3.0, 2.0, 1.6, 0.4666666666666667, 0.031, 2, 1, 0.0, 0
PA, 2.5806451612903225, 7.0, 1.0, 2.8633540372670807, 0.04230565838180857, 0.454, 8, 2, 0.006550868486352358, 1
PE, 1.7, 5.0, 1.0, 2.3766233766233764, 0.08947368421052632, 0.602, 6, 3, 0.0, 0
PF, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
PG, 2.25, 3.0, 2.0, 1.7857142857142858, 0.32142857142857145, 0.167, 2, 1, 0.27999999999999997, 1
PH, 3.6315789473684212, 7.0, 4.0, 2.8646059593428013, 0.01921470342522974, 0.446, 8, 1, 0.4414949486418231, 210
PK, 3.12, 6.0, 3.0, 2.71963963963964, 0.04216216216216216, 0.411, 6, 1, 0.29897184731862153, 24
PL, 3.2929411764705883, 10.0, 1.0, 3.7831296768266225, 0.0019381643181109996, 0.625, 22, 3, 0.13738141706107931, 202
PR, 2.5098039215686274, 6.0, 1.0, 3.1129991503823278, 0.05019607843137255, 0.511, 7, 2, 0.22409104717717157, 7
PS, 2.1875, 7.0, 4.0, 2.9193548387096775, 0.07056451612903226, 0.502, 5, 1, 0.08380018674136322, 1
PT, 2.411764705882353, 7.0, 4.0, 3.6637401229148376, 0.035996488147497806, 0.596, 7, 1, 0.04085684430512017, 1
PY, 2.1818181818181817, 4.0, 1.0, 2.3735632183908044, 0.1038961038961039, 0.487, 4, 2, 0.5859788359788359, 4
QA, 2.2222222222222223, 5.0, 3.0, 2.2777777777777777, 0.2777777777777778, 0.285, 3, 1, 0.13888888888888887, 1
RO, 2.692836113837095, 8.0, 1.0, 3.9997457533807794, 0.002645222115753532, 0.662, 28, 9, 0.08093632886992617, 36
RS, 3.2030075187969924, 5.0, 1.0, 2.848285580084547, 0.024265208475734792, 0.456, 10, 2, 0.17429142996111927, 24
RU, 6.0883280757097795, 8.0, 1.0, 3.303827015021403, 0.0013721722054788775, 0.407, 37, 2, 0.3844469421706628, 43893
RW, 3.0, 3.0, 2.0, 1.7777777777777777, 0.3333333333333333, 0.158, 2, 1, 0.4083333333333333, 4
SA, 3.1683168316831685, 5.0, 3.0, 2.862970297029703, 0.031683168316831684, 0.451, 7, 1, 0.1843813022149062, 20
SC, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
SD, 2.6666666666666665, 2.0, 1.0, 1.4666666666666666, 0.5333333333333333, 0.0, 1, 1, 0.76, 3
SE, 2.856470588235294, 8.0, 1.0, 3.4050686803952765, 0.006736958934517203, 0.607, 14, 2, 0.20167843217887388, 73
SG, 3.120879120879121, 6.0, 1.0, 2.8624786661415254, 0.017242426082205088, 0.491, 9, 3, 0.5564302335398832, 84
SI, 3.225, 7.0, 4.0, 3.1273361227336123, 0.013493723849372386, 0.46, 9, 1, 0.08133881958978527, 14
SK, 2.75, 7.0, 1.0, 3.371768982229402, 0.02669902912621359, 0.581, 10, 3, 0.26889417425163575, 29
SL, 1.5, 3.0, 2.0, 1.6666666666666667, 0.5, 0.167, 2, 1, 0.0, 0
SM, 1.5, 3.0, 2.0, 1.6666666666666667, 0.5, 0.0, 1, 1, 0.0, 0
SN, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
SO, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
SS, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
SV, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 2, 2, NaN, 0
SY, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
SZ, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
TG, 1.3333333333333333, 2.0, 1.0, 1.3333333333333333, 0.6666666666666666, 0.0, 1, 1, 0.0, 0
TH, 3.4265734265734267, 8.0, 1.0, 3.228407196357031, 0.012023064654643601, 0.54, 11, 2, 0.2557452130793624, 96
TJ, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
TM, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
TN, 1.75, 3.0, 2.0, 1.9285714285714286, 0.25, 0.194, 2, 1, 0.0, 0
TO, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
TR, 2.767908309455587, 5.0, 3.0, 2.6777327668543953, 0.00795375950992985, 0.466, 12, 1, 0.6839463511577611, 132
TT, 2.4444444444444446, 5.0, 3.0, 2.0555555555555554, 0.3055555555555556, 0.145, 2, 1, 0.0, 0
TW, 3.5126050420168067, 6.0, 3.0, 2.9821962683378436, 0.029767839339125482, 0.48, 7, 1, 0.2712952672213756, 64
TZ, 2.0425531914893615, 8.0, 1.0, 3.4921402660217655, 0.04440333024976873, 0.634, 8, 3, 0.07439896036387264, 1
UA, 3.112703583061889, 10.0, 1.0, 3.8545232284303763, 0.0020291418403271767, 0.646, 25, 4, 0.14990119940364932, 235
UG, 2.1904761904761907, 7.0, 1.0, 3.104651162790698, 0.10952380952380952, 0.475, 4, 2, 0.31233766233766236, 2
US, 4.530457179652286, 10.0, 1.0, 3.3369097370119563, 2.9174172062929266E-4, 0.526, 43, 5, 0.4456558747236594, 30055
UY, 2.857142857142857, 5.0, 3.0, 2.2747252747252746, 0.21978021978021978, 0.286, 4, 1, 0.051515151515151514, 1
UZ, 1.9285714285714286, 6.0, 1.0, 2.7604562737642584, 0.07142857142857142, 0.538, 4, 2, 0.0, 0
VC, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
VE, 2.7, 5.0, 1.0, 2.6756352765321374, 0.06923076923076923, 0.488, 5, 2, 0.25292917301227547, 8
VI, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 2, 2, NaN, 0
VN, 3.590643274853801, 6.0, 3.0, 2.888200894392845, 0.02112143102855177, 0.443, 9, 1, 0.28233556267035, 75
VU, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.5, 2, 2, NaN, 0
WS, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
YE, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1, 1, NaN, 0
ZA, 4.165048543689321, 5.0, 3.0, 2.637035282974189, 0.020317309969216196, 0.398, 7, 1, 0.6277402628492408, 284
ZM, 1.6, 2.0, 1.0, 1.6, 0.4, 0.0, 1, 1, 0.0, 0
ZW, 2.1818181818181817, 5.0, 3.0, 2.272727272727273, 0.21818181818181817, 0.287, 3, 1, 0.3428571428571428, 2
