Source,Target
5645,26198
5645,26288
5645,26531
5645,26677
5645,26838
5645,27299
5645,27324
5645,29909
5645,29974
5645,30028
5645,30176
5645,30528
5645,30539
5645,32100
5645,32241
5645,32277
5645,32424
5645,32563
5645,32580
5645,32613
5645,32678
5645,32710
5645,32881
5645,33130
5645,33139
5645,33164
5645,33361
5645,33541
5645,33554
5645,35843
5645,35893
5645,35998
5645,36052
5645,36225
5645,36273
5645,36445
5645,36493
5645,36518
5645,36731
5645,40028
5645,40191
5645,40383
5645,40529
5645,40788
5645,46156
5645,46195
5645,46525
5645,46609
5645,47027
5645,53424
5645,53441
5645,53486
5645,53494
5645,53525
5645,53732
5645,54002
5645,54044
5645,54110
5645,54164
5645,54198
5645,54614
5645,54929
5645,55022
5645,55195
5645,62560
5645,62782
5645,63003
5645,63419
5645,393424
5645,393636
5645,393845
5664,11666
5664,22652
5664,23457
5664,36750
5664,40191
5690,11666
5690,14537
5690,19167
5690,19595
5690,22060
5690,22652
5690,23184
5690,23498
5690,32558
5690,40191
5690,40688
5764,5769
5764,11666
5764,22652
5769,1824
5769,4540
5769,6327
5769,6407
5769,11260
5769,11290
5769,11647
5769,11666
5769,12041
5769,12188
5769,13657
5769,13773
5769,13864
5769,14537
5769,14659
5769,15290
5769,15321
5769,16570
5769,16605
5769,16624
5769,16944
5769,17397
5769,18588
5769,18650
5769,18705
5769,18875
5769,18892
5769,19402
5769,19515
5769,21949
5769,22476
5769,22639
5769,23299
5769,23498
5769,26288
5769,27299
5769,29820
5769,30176
5769,30180
5769,30236
5769,30336
5769,30348
5769,30466
5769,32710
5769,32735
5769,33329
5769,36068
5769,36648
5769,40788
5769,40864
5769,46618
5769,53792
5769,54235
5769,54353
5769,54788
5769,63278
5769,393304
6280,40191
6327,271
6327,1624
6327,3359
6327,3397
6327,4476
6327,5110
6327,6171
6327,6407
6327,7311
6327,10980
6327,11257
6327,11625
6327,11666
6327,11831
6327,12188
6327,14280
6327,14426
6327,14873
6327,15102
6327,15158
6327,15247
6327,16569
6327,16570
6327,16583
6327,16623
6327,17001
6327,17181
6327,18446
6327,18451
6327,18988
6327,19016
6327,19041
6327,19053
6327,19062
6327,19220
6327,19234
6327,19286
6327,19432
6327,19752
6327,19875
6327,20161
6327,20291
6327,21533
6327,21774
6327,21804
6327,22424
6327,22457
6327,22512
6327,22623
6327,22652
6327,22950
6327,23163
6327,23523
6327,25635
6327,25689
6327,25983
6327,25999
6327,26025
6327,26198
6327,26206
6327,26871
6327,27275
6327,27324
6327,27628
6327,29747
6327,30158
6327,30381
6327,30400
6327,30500
6327,30715
6327,31870
6327,32247
6327,32536
6327,32710
6327,32738
6327,32856
6327,32956
6327,33091
6327,35875
6327,36000
6327,36030
6327,36479
6327,36483
6327,36534
6327,36698
6327,40053
6327,40119
6327,40915
6327,46383
6327,46737
6327,46772
6327,46877
6327,46920
6327,47023
6327,53359
6327,53403
6327,53543
6327,53714
6327,53904
6327,53906
6327,54182
6327,54296
6327,54368
6327,54453
6327,54520
6327,54527
6327,54605
6327,54759
6327,54807
6327,54841
6327,54867
6327,54877
6327,54884
6327,55019
6327,55101
6327,62487
6327,62589
6327,62649
6327,62758
6327,62993
6327,63052
6327,393242
6327,393431
6327,393607
6327,393891
6327,394097
6391,11831
6391,55124
6407,7788
6407,11666
6407,15031
6407,15127
6407,22652
6407,26889
6407,27299
6407,40191
6509,271
6509,611
6509,7860
6509,8111
6509,10965
6509,10972
6509,15296
6509,21640
6509,26300
6509,26677
6509,33594
6539,271
6539,11831
6539,16543
6539,16580
6539,18805
6539,18968
6539,19875
6539,22286
6539,25925
6539,30381
6539,31934
6539,32536
6539,32856
6539,36337
6539,40232
6539,46184
6539,54296
6539,62649
6579,10972
7057,11666
7057,13727
7057,22652
7057,40191
7057,393996
7122,3958
7122,16796
7122,18472
7122,18588
7122,19053
7122,21774
7122,21876
7122,22839
7122,23001
7122,26320
7122,27265
7122,32433
7122,53661
7122,54937
7122,62846
7122,62962
7311,5664
7311,10678
7311,11666
7311,13846
7311,16949
7311,22652
7311,25948
7311,33044
7311,35998
7311,40191
7311,46157
7311,54164
7311,62824
7403,40191
7788,16485
7788,23197
7788,54830
7794,11666
7794,22652
7794,40191
7992,7312
7992,11181
7992,11290
7992,11666
7992,11700
7992,14537
7992,18634
7992,19465
7992,22652
7992,23237
7992,23498
7992,27168
7992,33105
7992,35843
7992,36235
7992,40191
7992,53791
7992,393990
8111,23307
8111,30256
8111,40007
8111,393907
10533,10570
10533,21640
10929,7765
10929,14442
10929,19743
10929,20221
10929,21793
10929,22476
10929,22652
10929,23471
10929,36231
10929,40191
10929,53441
10929,53757
10929,54044
10929,55022
10929,55271
10965,16796
10972,54658
10996,11666
10996,22652
10996,40191
11260,7860
11260,8111
11260,11468
11260,11666
11260,18814
11260,22372
11260,22393
11260,22505
11260,22636
11260,22652
11260,25962
11260,26233
11260,30256
11260,32747
11260,33056
11260,33230
11260,36689
11260,40007
11260,40439
11260,47027
11260,54658
11290,2568
11290,14102
11290,21548
11290,22652
11290,40191
11342,4470
11342,11666
11342,14166
11342,22652
11468,5645
11468,11666
11468,21564
11468,22652
11468,23307
11468,26233
11468,36077
11468,40191
11478,22652
11478,40191
11522,11666
11522,14661
11522,19595
11522,22060
11522,22652
11522,30549
11522,40191
11647,11666
11647,14537
11647,22652
11647,40191
11666,11084
11666,11814
11666,12041
11666,12059
11666,12188
11666,12212
11666,13319
11666,13657
11666,13773
11666,13794
11666,13826
11666,13895
11666,14166
11666,14453
11666,14500
11666,14537
11666,14651
11666,15024
11666,15128
11666,15247
11666,15348
11666,16523
11666,16949
11666,18588
11666,18650
11666,18705
11666,18997
11666,19016
11666,19117
11666,19171
11666,19234
11666,19465
11666,19467
11666,19752
11666,19842
11666,20161
11666,20365
11666,20425
11666,21513
11666,21570
11666,21724
11666,21834
11666,21949
11666,22652
11666,22873
11666,22964
11666,22995
11666,23136
11666,23184
11666,23197
11666,23252
11666,23498
11666,25668
11666,25914
11666,25946
11666,26198
11666,26288
11666,26531
11666,26677
11666,26838
11666,27299
11666,27324
11666,29953
11666,29974
11666,30028
11666,30176
11666,30528
11666,30539
11666,32100
11666,32241
11666,32277
11666,32580
11666,32613
11666,32638
11666,32710
11666,32881
11666,33130
11666,33139
11666,33164
11666,33361
11666,33541
11666,33554
11666,35843
11666,35893
11666,36052
11666,36273
11666,36445
11666,36518
11666,36731
11666,40028
11666,40191
11666,40383
11666,40788
11666,46156
11666,46195
11666,46525
11666,46609
11666,47027
11666,53424
11666,53486
11666,53494
11666,53525
11666,53732
11666,54002
11666,54198
11666,54614
11666,54929
11666,62560
11666,62921
11666,63003
11666,63419
11666,63447
11666,393845
11814,22652
11814,40191
12021,18634
12021,30638
12021,53564
12021,62593
12041,14537
12041,22652
12041,40191
12059,21775
12059,22652
12059,40191
12188,16729
12188,21867
12188,22652
12188,26567
12188,29711
12188,33326
12188,36031
12212,22652
12212,40191
13319,22652
13319,26227
13319,35964
13319,40191
13319,55021
13340,26281
13657,14537
13657,16995
13657,22652
13657,30414
13657,40191
13657,46478
13773,14007
13773,22652
13773,40191
13794,22652
13794,40191
13826,19915
13826,22652
13826,30406
13826,40191
13826,63017
13895,22652
13895,40191
14007,35949
14007,40915
14086,22652
14086,40191
14166,22652
14166,40191
14453,14537
14453,22652
14453,40191
14472,6562
14472,30684
14472,40280
14472,54085
14500,22652
14500,40191
14537,17397
14537,18705
14537,21570
14537,21724
14537,22652
14537,23197
14537,26838
14537,33541
14537,35893
14537,36518
14537,40191
14537,40383
14537,46156
14537,47027
14537,54614
14537,62560
14537,63419
14651,22652
14651,27232
14866,14268
14866,16543
14866,18472
14866,20291
14866,25797
14866,26320
14866,27618
14866,54454
14866,55101
14866,62589
14866,62962
14866,63318
14866,393733
14866,393927
15024,22652
15024,22749
15024,30323
15024,36750
15024,40191
15024,40867
15024,62593
15102,393712
15128,22652
15128,40191
15152,19743
15247,15128
15247,21724
15290,803
15290,1624
15290,2671
15290,3958
15290,5743
15290,6401
15290,6407
15290,6537
15290,7122
15290,7788
15290,10264
15290,10808
15290,11234
15290,11239
15290,11342
15290,11566
15290,11628
15290,11703
15290,12010
15290,12070
15290,12093
15290,12226
15290,13441
15290,13851
15290,14358
15290,14484
15290,14595
15290,14642
15290,15000
15290,15031
15290,15128
15290,15160
15290,15348
15290,16487
15290,16624
15290,16729
15290,16802
15290,16932
15290,16949
15290,17358
15290,17371
15290,18587
15290,18638
15290,18686
15290,19086
15290,19171
15290,19968
15290,20045
15290,21570
15290,21804
15290,21992
15290,22491
15290,22512
15290,22623
15290,22652
15290,22863
15290,22910
15290,23181
15290,23373
15290,25635
15290,25797
15290,25849
