AE,0.287356322,0.176271186,0.622317042,112,6,2.650472335,6,3,0.075573549,2.769230769,2.780026991,0.39,5,43962.71369,96.4000001,90.4
AF,0.264367816,0.190960452,0.613136799,1,1,1.981060606,3,2,0.068181818,2.181818182,1.981060606,0.191,2,633.569247,90.89999962,6.39
AL,0.528735632,0.518644068,0.725239204,4,2,2.846153846,6,3,0.074224022,2.820512821,2.846153846,0.455,4,4564.390339,83.89999962,60.1
AM,0.367816092,0.344632768,0.729635376,69,6,2.631372549,5,3,0.076862745,3.058823529,2.928627451,0.449,5,3873.533566,82.89999962,46.3
AO,0.344827586,0.256497175,0.607964831,12,2,2.661375661,5,3,0.092592593,2.387096774,2.650918635,0.485,5,7501,93.19999981,21.26
AR,0.540229885,0.650847458,0.75963279,63,23,2.926345609,5,3,0.010979338,3.707865169,3.016436734,0.476,9,12509.53112,91.80000019,64.7
AT,0.873563218,0.842937853,0.956943367,1408,53,2.859310777,6,3,0.011491228,4.37593985,2.908401657,0.437,12,51190.80825,95,81
AU,0.873563218,0.896045198,0.877036462,1065,84,3.025646682,8,4,0.004608288,5.136200717,3.024866194,0.391,16,61925.49606,94,84.56
AZ,0.195402299,0.197740113,0.34199638,35,2,2.344444444,5,3,0.065079365,2.222222222,2.398412698,0.355,4,7884.190236,94.80000019,61
BD,0.517241379,0.531073446,0.54189294,10,11,3.542164939,7,4,0.016431925,3.302325581,3.640772399,0.541,9,1086.807079,95.69999981,9.6
BE,0.988505747,0.774011299,0.942332558,168,31,5.400549451,17,9,0.022527473,2.188976378,5.368010167,0.721,14,47352.94291,91.5,85
BG,0.701149425,0.638418079,0.671709335,115,48,3.310233683,7,4,0.006607575,3.360623782,3.310215953,0.56,12,7851.265428,88.39999962,55.49
BH,0.149425287,0.202259887,0.338376002,15,4,3.241830065,7,4,0.124183007,2.111111111,3.241830065,0.503,4,24855.21564,96.09999991,90.99998
BJ,0.724137931,0.516384181,0.719162141,2,2,1.333333333,2,1,0.666666667,1.333333333,1.333333333,0,1,903.464924,99,5.3
BR,0.609195402,0.711864407,0.684380657,323,133,3.2346754,7,1,0.003713889,11.16395078,3.2346754,0.281,18,11384.41501,93.19999981,57.6
BT,0.448275862,0.428248588,0.675071115,22,1,1.8,3,2,0.4,1.6,1.8,0.219,2,2560.501154,97.20000005,34.37
BW,0.655172414,0.767231638,0.801008534,11,2,2.076923077,4,2,0.166666667,2,2.076923077,0.275,3,7123.339241,81.79999924,18.5
BY,0.045977011,0.294915254,0.476855443,27,4,2.681635926,6,3,0.036888532,2.390804598,2.839347768,0.555,7,8040.047557,94.09999991,59.02
CA,0.896551724,0.903954802,0.955133178,1094,129,3.215616911,9,5,0.004588983,4.232606438,3.303998916,0.528,19,50235.38551,93.09999991,87.12
CH,0.977011494,0.905084746,0.918153607,1845,60,2.876148724,7,4,0.012697003,5.355140187,2.876201312,0.367,12,85594.3266,95.5,87
CI,0.310344828,0.276836158,0.703516938,6,2,2.133333333,4,2,0.333333333,1.666666667,2.133333333,0.3,2,1545.942249,96,14.6
CL,0.75862069,0.759322034,0.799844841,28,12,2.968291251,6,4,0.026423958,3.435114504,2.968291251,0.484,7,14528.32581,93.59999991,72.35
CM,0.333333333,0.263276836,0.584820274,4,3,1.75,2,1,0.25,1.75,1.75,0,1,1407.403413,95.69999981,11
CN,0.137931034,0.216949153,0.146237393,274,30,3.215144336,7,4,0.012664151,3.19245283,3.289490746,0.607,11,7590.016441,95.30000019,49.3
CO,0.482758621,0.618079096,0.59193173,30,9,3.150905433,5,3,0.035814889,2.405405405,3.223874598,0.625,7,7903.925773,89.89999962,52.57
CR,0.896551724,0.785310734,0.93871218,10,5,2.922689076,7,4,0.065546218,2.1,2.911519199,0.606,6,10415.44438,91.69999981,49.41
CY,0.862068966,0.714124294,0.883630721,85,7,2.719230769,6,4,0.076923077,2.904761905,2.717029449,0.417,6,27194.39184,84.39999962,69.33
CZ,0.896551724,0.775141243,0.946987329,1138,52,3.385008069,8,4,0.009847512,3.426934097,3.385008069,0.526,16,19529.84356,93.80000019,79.71
DE,0.91954023,0.854237288,0.948926817,2281,214,3.177459821,8,1,0.004313232,5.438985737,3.177459821,0.414,28,47821.91746,95,86.19
DK,0.977011494,0.907344633,0.990690458,420,19,3.022355361,6,3,0.01363677,2.859813084,3.022264944,0.551,11,60707.24937,93.4000001,95.99
DO,0.643678161,0.631638418,0.744116886,1,1,3.104761905,7,4,0.152380952,2.133333333,3.104761905,0.436,4,6163.575857,85,49.58
DZ,0.402298851,0.310734463,0.623610034,1,1,1.5,2,1,0.5,1.333333333,1.428571429,0.375,2,5484.066806,90.5,18.09
EC,0.448275862,0.541242938,0.662141195,1,1,2.910588235,5,3,0.059607843,2.862745098,2.941176471,0.494,5,6345.840725,95.4000001,43
EE,0.908045977,0.752542373,0.952547194,95,12,2.387844612,4,2,0.05764411,2.440677966,2.780946209,0.453,5,20161.58179,92.30000019,84.24
EG,0.459770115,0.235028249,0.448538919,42,6,2.40627451,4,2,0.069019608,3.450980392,2.40627451,0.322,4,3198.695058,86.80000019,31.7
ES,0.83908046,0.787570621,0.839281096,266,31,3.974085106,10,5,0.006851064,2.619385343,3.861987265,0.67,19,29767.35156,75.29999924,76.19
FI,1,0.898305085,1,508,11,3.294237813,7,4,0.015567766,2.548571429,3.297133601,0.601,12,49823.70137,91.39999962,92.38
FJ,0.448275862,0.511864407,0.692785105,1,1,1,1,1,1,1,1,0.5,2,5112.322117,92.09999991,41.8
FR,0.83908046,0.786440678,0.823765193,771,162,3.051645902,8,4,0.006219401,3.122629583,3.268625521,0.579,22,42732.5665,90.10000038,83.75
GB,0.873563218,0.816949153,0.8386346,3608,256,3.247911571,9,1,0.006953749,8.560064935,3.247911571,0.304,30,46331.97741,93.69999981,91.61
