code,ip_density,percentile_pgrank,num_intl_countries,percentile_cust_cone,prov_count,percentile_degree,stub_count,percentile_bcen,diameter,tot_peer_edges,num_edges,num_nodes,num_large_providers,num_avg_peer,num_avg_prov,num_announced_ip,num_large_nodes,num_intl_nodes
PL,0.545,0.001,49,4.0,277,15.4,0,0.002,9.0,2304,6236,2113,12,2.181,0.0,5024,2,294
ZM,0.07,0.069,8,2.9,3,5.0,0,0.305,8.0,5,31,29,0,0.345,0.0,93,0,14
EE,1.02,0.01,31,5.4,9,6.0,0,0.027,8.0,91,278,211,1,0.863,0.0,469,0,141
EG,0.223,0.012,23,15.4,6,4.7,0,0.017,4.0,45,176,127,1,0.709,0.0,5415,0,73
ZA,0.495,0.002,90,7.95,46,15.0,0,0.002,7.0,1512,2095,945,2,3.2,0.0,3916,1,698
EC,0.162,0.049,8,11.35,10,10.35,0,0.169,6.0,3,100,72,0,0.083,0.0,3176,0,18
AL,0.124,0.04,13,11.4,11,8.0,0,0.197,7.0,1,88,62,0,0.032,0.0,323,0,22
AO,0.05,0.019,24,9.4,8,5.9,0,0.089,7.0,57,120,103,0,1.107,0.0,168,0,69
SB,0.028,0.176,4,1.0,0,3.0,0,0.569,5.0,0,8,8,0,0.0,0.0,38,0,4
ET,0.004,0.407,3,1.0,0,3.4,0,0.8,2.0,0,4,5,0,0.0,0.0,108,0,4
SO,0.002,0.177,5,1.55,1,5.6,0,0.559,5.0,0,15,15,0,0.0,0.0,37,0,5
ZW,0.007,0.083,6,4.9,4,6.0,0,0.206,5.0,1,31,23,0,0.087,0.0,163,0,8
SA,0.283,0.007,36,15.0,18,6.0,0,0.017,7.0,99,359,246,2,0.805,0.0,4779,0,135
ES,0.654,0.002,65,5.0,74,10.0,0,0.006,6.0,722,1998,912,4,1.583,0.004,5367,0,374
ER,0.002,0.464,2,1.0,0,1.9,0,0.9,2.0,0,2,3,0,0.0,0.0,3,0,2
ME,0.349,0.079,7,11.9,7,5.0,0,0.409,9.0,0,27,27,0,0.0,0.0,50,0,13
MD,0.293,0.007,28,9.0,16,5.4,0,0.027,8.0,245,430,233,0,2.103,0.0,543,0,151
MG,0.007,0.014,22,2.8,1,1.15,0,0.0,3.0,47,56,58,0,1.621,0.0,276,0,55
MF,0.032,0.332,4,3.7,1,4.9,0,0.65,2.0,0,7,8,0,0.0,0.0,12,0,5
UY,0.713,0.019,18,9.85,6,5.0,0,0.075,6.0,64,112,82,0,1.561,0.0,781,0,60
MC,1.586,0.096,9,2.0,1,3.4,0,0.15,2.0,13,17,18,0,1.444,0.0,15,0,17
UZ,0.008,0.099,3,11.5,4,9.15,0,0.39,4.0,0,43,40,0,0.0,0.0,134,0,4
MM,0.001,0.097,10,5.9,8,6.2,0,0.411,7.0,3,30,29,0,0.207,0.0,88,0,17
ML,0.005,0.249,3,2.7,1,3.65,0,0.664,4.0,0,7,8,0,0.0,0.0,21,0,4
MO,0.577,0.178,9,2.8,2,8.8,0,0.663,5.0,11,23,24,0,0.917,0.0,99,0,19
MN,0.076,0.008,22,4.75,8,2.0,0,0.017,5.0,77,121,118,0,1.305,0.0,263,0,81
MH,0.16,0.5,1,1.0,0,1.0,0,0.0,1.0,0,1,2,0,0.0,0.0,9,0,1
US,5.065,0.0,191,3.0,1686,9.0,0,0.0,11.0,22837,66006,24189,46,1.888,0.001,159102,20,8579
MU,1.509,0.001,99,109.1,9,2.0,0,0.0,5.0,1274,1412,1312,2,1.942,0.0,296,1,1293
MT,1.428,0.021,21,12.9,5,5.9,0,0.13,8.0,53,114,102,0,1.039,0.0,307,0,74
MW,0.025,0.033,19,2.0,3,3.4,0,0.042,4.0,32,51,53,0,1.208,0.0,118,0,45
MV,0.16,0.02,20,1.0,0,2.2,0,0.135,6.0,42,56,57,0,1.474,0.0,202,0,54
MR,0.012,0.216,5,3.7,1,4.2,0,0.6,5.0,0,9,9,0,0.0,0.0,17,0,6
AU,2.071,0.001,106,4.0,171,9.0,0,0.001,11.0,4630,7042,3123,7,2.965,0.001,19025,3,1925
UG,0.008,0.026,25,5.2,10,8.05,0,0.079,8.0,87,160,100,0,1.74,0.0,277,0,72
UA,0.258,0.001,75,6.0,328,10.0,0,0.001,7.0,2739,6729,3499,10,1.566,0.001,10295,2,1828
MX,0.23,0.011,19,10.0,37,14.0,0,0.027,6.0,41,550,290,1,0.283,0.0,10025,0,87
MZ,0.016,0.044,9,5.0,5,4.0,0,0.202,1.0,0,44,42,0,0.0,0.0,253,0,22
FR,1.204,0.002,84,4.0,136,49.8,0,0.003,7.0,5238,7791,1545,5,6.781,0.0,5355,0,626
AW,0.616,0.295,4,2.9,1,5.0,0,0.679,3.0,0,8,9,0,0.0,0.0,54,0,7
AF,0.006,0.03,9,3.1,2,3.75,0,0.042,4.0,0,55,46,0,0.0,0.0,253,0,12
FI,2.487,0.002,55,3.1,33,4.0,0,0.002,7.0,620,1031,816,0,1.52,0.0,672,1,616
FJ,0.165,0.097,4,2.0,3,4.15,0,0.377,7.0,0,22,18,0,0.0,0.0,50,0,12
FM,0.123,0.243,3,1.0,0,2.0,0,0.1,2.0,0,4,6,0,0.0,0.0,10,0,3
FO,0.892,0.265,3,1.0,0,2.75,0,0.675,4.0,0,5,6,0,0.0,0.0,11,0,4
NI,0.067,0.071,7,4.0,5,5.9,0,0.216,7.0,0,39,32,0,0.0,0.0,308,0,9
NL,2.802,0.001,107,6.4,122,51.0,0,0.001,7.0,14302,16752,3055,7,9.363,0.001,4438,8,2397
NO,3.129,0.001,74,7.25,40,5.0,0,0.0,6.0,1462,1942,1250,2,2.339,0.0,1313,1,1028
NA,0.192,0.009,28,12.5,2,3.0,0,0.012,4.0,123,161,105,0,2.343,0.0,80,0,95
VU,0.077,0.21,3,1.8,1,11.25,0,0.412,3.0,12,25,16,0,1.5,0.0,44,0,11
NC,0.621,0.114,9,6.4,1,6.25,0,0.052,2.0,14,28,28,0,1.0,0.0,62,0,19
NE,0.002,0.13,8,1.75,1,4.0,0,0.105,5.0,0,13,17,0,0.0,0.0,26,0,11
NG,0.014,0.008,34,8.4,21,5.4,0,0.031,6.0,78,308,233,0,0.67,0.0,1177,0,118
NZ,1.521,0.006,26,8.0,46,12.0,0,0.021,7.0,236,850,475,3,0.994,0.0,2466,0,158
NP,0.018,0.041,6,11.2,15,7.0,0,0.156,6.0,2,76,55,0,0.073,0.0,436,0,16
CI,0.029,0.158,7,12.3,2,8.0,0,0.397,4.0,0,23,21,0,0.0,0.0,465,0,13
CH,2.41,0.0,101,4.9,70,11.0,0,0.0,7.0,7897,9296,2782,4,5.677,0.0,2312,5,2237
CO,0.362,0.014,25,13.0,17,6.55,0,0.065,9.0,32,237,170,0,0.376,0.0,7672,0,72
CN,0.247,0.001,39,33.0,38,4.0,0,0.002,7.0,826,1481,1167,3,1.416,0.0,17178,1,1050
CM,0.014,0.085,8,6.0,3,3.95,0,0.197,2.0,1,20,22,0,0.091,0.0,199,0,11
CL,0.572,0.015,17,18.6,22,12.2,0,0.058,7.0,69,372,229,1,0.603,0.0,3378,0,75
CA,2.006,0.001,88,6.0,185,12.0,0,0.001,8.0,3753,6321,2461,5,3.05,0.0,17992,2,1360
CG,0.013,0.079,7,4.55,2,4.0,0,0.083,3.0,0,21,22,0,0.0,0.0,77,0,12
CF,0.003,0.274,3,1.0,0,1.8,0,0.133,2.0,0,3,5,0,0.0,0.0,9,0,3
CD,0.002,0.051,14,2.25,2,5.25,0,0.081,2.0,0,33,36,0,0.0,0.0,86,0,20
CZ,0.843,0.001,45,5.0,82,9.0,0,0.004,14.0,1020,2534,1330,2,1.534,0.005,1879,1,828
CY,0.906,0.008,33,5.55,14,5.0,0,0.016,6.0,199,379,224,0,1.777,0.0,675,0,153
MA,0.292,0.138,7,8.85,3,7.15,0,0.368,4.0,0,25,20,0,0.0,0.0,847,0,12
CW,1.253,0.014,28,7.6,5,3.15,0,0.127,6.0,66,107,98,0,1.347,0.0,237,0,81
CV,0.067,0.434,1,2.8,1,2.7,0,0.85,2.0,0,3,4,0,0.0,0.0,7,0,1
CU,0.023,0.381,2,2.8,1,4.0,0,0.75,2.0,0,5,6,0,0.0,0.0,23,0,3
SZ,0.038,0.381,2,3.7,1,4.0,0,0.75,2.0,0,5,6,0,0.0,0.0,21,0,3
SY,0.041,0.333,2,2.9,2,3.5,0,0.775,3.0,0,5,6,0,0.0,0.0,134,0,3
SX,0.639,0.096,6,5.0,1,3.4,0,0.15,2.0,12,17,18,0,1.333,0.0,24,0,17
KG,0.048,0.057,8,6.65,8,8.4,0,0.092,5.0,6,67,47,0,0.255,0.0,196,0,19
KE,0.109,0.019,29,15.8,13,13.0,0,0.043,5.0,110,258,161,0,1.366,0.0,877,0,100
SR,0.151,0.189,3,1.0,0,1.7,0,0.047,2.0,0,4,7,0,0.0,0.0,83,0,4
KI,0.076,0.5,1,1.0,0,1.0,0,0.0,1.0,0,1,2,0,0.0,0.0,16,0,1
KH,0.019,0.005,34,10.6,14,6.7,0,0.004,6.0,396,519,387,0,2.047,0.0,970,0,340
KN,1.182,0.042,5,1.0,0,1.0,0,0.0,2.0,14,22,24,0,1.167,0.0,7,0,22
KM,0.011,0.464,2,1.0,0,1.9,0,0.9,2.0,0,2,3,0,0.0,0.0,9,0,2
ST,0.073,0.5,1,1.0,0,1.0,0,0.0,1.0,0,1,2,0,0.0,0.0,1,0,1
SK,0.495,0.009,30,12.0,25,10.3,0,0.028,7.0,205,495,308,1,1.331,0.0,417,0,183
KR,2.229,0.001,36,14.2,8,3.0,0,0.0,6.0,140,1085,729,2,0.384,0.0,6034,0,651
SI,1.257,0.004,33,4.5,20,6.0,0,0.009,5.0,176,682,385,1,0.914,0.005,555,0,133
KP,0.0,0.5,1,1.0,0,1.0,0,0.0,1.0,0,1,2,0,0.0,0.0,4,0,1
KW,0.52,0.017,24,19.65,8,6.7,0,0.101,7.0,58,164,134,0,0.866,0.0,1607,0,86
SN,0.025,0.244,6,2.0,2,3.6,0,0.171,2.0,0,7,9,0,0.0,0.0,18,0,6
SM,1.042,0.041,8,3.4,2,3.0,0,0.107,6.0,20,33,33,0,1.212,0.0,86,0,26
SL,0.009,0.135,6,2.6,2,5.2,0,0.618,7.0,0,17,17,0,0.0,0.0,28,0,8
SC,63.624,0.087,9,2.6,2,5.85,0,0.085,4.0,0,24,24,0,0.0,0.0,106,0,15
KZ,0.17,0.017,15,14.6,16,11.6,0,0.036,7.0,61,275,163,1,0.748,0.0,2526,0,63
KY,2.939,0.094,4,1.0,0,3.15,0,0.107,4.0,0,14,18,0,0.0,0.0,50,0,9
SG,1.367,0.0,104,13.0,43,4.0,0,0.0,8.0,3475,4429,3285,3,2.116,0.001,5115,1,3023
SE,2.835,0.001,91,4.0,74,8.0,0,0.001,8.0,2032,3110,1760,2,2.309,0.0,3273,1,1261
SD,0.033,0.192,9,6.5,3,8.0,0,0.417,4.0,0,19,16,0,0.0,0.0,275,0,10
DO,0.151,0.072,7,5.8,7,9.0,0,0.225,6.0,5,58,41,0,0.244,0.0,630,0,19
DM,0.223,0.281,4,4.8,1,3.1,0,0.28,2.0,0,5,7,0,0.0,0.0,513,0,5
DJ,0.063,0.143,10,9.55,1,4.5,0,0.25,2.0,1,15,16,0,0.125,0.0,87,0,14
DK,2.34,0.001,76,3.35,29,7.0,0,0.002,6.0,1252,1819,1132,2,2.212,0.002,1387,1,898
DE,1.488,0.001,117,6.0,256,43.0,0,0.001,10.0,13964,18750,4032,7,6.927,0.0,10260,9,2518
YE,0.005,0.24,6,1.0,0,4.0,0,0.548,4.0,0,8,8,0,0.0,0.0,42,0,6
AT,1.32,0.001,83,7.45,68,10.0,0,0.0,6.0,3509,4928,2124,4,3.304,0.0,2549,3,1691
DZ,0.096,0.072,7,3.6,3,5.7,0,0.254,6.0,1,32,27,0,0.074,0.0,328,0,14
MK,0.334,0.034,16,9.1,7,8.6,0,0.089,6.0,14,110,73,0,0.384,0.0,337,0,43
LB,0.125,0.014,11,4.0,10,4.85,0,0.039,6.0,5,144,124,0,0.081,0.0,1372,0,24
LA,0.011,0.087,7,3.5,3,6.5,0,0.26,7.0,4,32,26,0,0.308,0.0,196,0,15
TT,0.39,0.111,10,9.3,4,7.6,0,0.412,7.0,0,31,29,0,0.0,0.0,337,0,19
TR,0.216,0.003,26,4.0,36,5.0,0,0.006,6.0,32,646,460,2,0.139,0.0,13593,0,83
LK,0.026,0.017,22,7.6,6,5.0,0,0.019,5.0,70,121,106,0,1.321,0.0,328,0,90
LI,2.635,0.02,19,2.4,3,6.0,0,0.064,8.0,90,129,93,0,1.935,0.0,45,0,76
LV,0.926,0.005,29,7.5,36,7.0,0,0.013,6.0,212,601,362,1,1.171,0.0,746,0,151
TO,0.133,0.464,1,1.95,1,1.9,0,0.9,2.0,0,2,3,0,0.0,0.0,11,0,1
TL,0.012,0.231,4,1.0,0,2.7,0,0.293,3.0,0,5,7,0,0.0,0.0,64,0,4
LU,2.519,0.011,36,9.0,17,18.9,0,0.026,7.0,553,761,255,0,4.337,0.0,416,0,195
TJ,0.009,0.114,3,2.7,2,4.0,0,0.555,9.0,0,16,17,0,0.0,0.0,60,0,9
TH,0.133,0.004,38,24.0,46,9.0,0,0.015,8.0,349,1027,494,1,1.413,0.0,5302,0,189
TG,0.041,0.244,5,1.9,1,3.6,0,0.171,2.0,0,7,9,0,0.0,0.0,56,0,6
TD,0.001,0.122,7,1.0,0,2.0,0,0.018,2.0,0,7,12,0,0.0,0.0,18,0,7
TC,0.349,0.5,0,1.0,0,1.0,0,0.0,1.0,0,1,2,0,0.0,0.0,21,0,1
LY,0.054,0.191,3,3.0,3,5.1,0,0.409,4.0,2,13,10,0,0.4,0.0,65,0,5
VC,0.276,0.308,2,1.0,0,3.8,0,0.483,2.0,0,6,5,0,0.0,0.0,72,0,3
AE,0.419,0.006,47,28.0,11,3.0,0,0.01,7.0,190,350,265,1,1.434,0.0,802,0,204
VE,0.222,0.001,85,18.3,10,1.0,0,0.0,5.0,953,1099,1048,1,1.819,0.0,1481,1,1000
AG,0.795,0.274,3,1.0,0,1.8,0,0.133,2.0,0,3,5,0,0.0,0.0,4,0,3
VI,0.917,0.133,2,2.0,2,4.3,0,0.398,5.0,0,14,15,0,0.0,0.0,150,0,8
IS,2.72,0.007,24,11.0,12,6.0,0,0.014,5.0,348,438,148,0,4.703,0.0,154,0,101
IR,0.152,0.006,11,7.65,70,8.0,0,0.021,7.0,4,595,391,2,0.02,0.0,5260,0,22
AM,0.207,0.019,23,30.15,16,9.0,0,0.055,6.0,123,234,148,0,1.662,0.0,427,0,94
IT,0.873,0.001,123,4.0,105,25.5,0,0.001,6.0,6954,8717,2231,3,6.234,0.001,4367,4,1529
VN,0.174,0.005,26,45.8,8,4.0,0,0.011,6.0,120,359,253,1,0.949,0.0,3402,0,226
AS,0.102,0.246,2,2.0,2,2.0,0,0.633,4.0,0,4,5,0,0.0,0.0,43,0,3
AR,0.441,0.003,31,6.0,55,8.0,0,0.009,7.0,149,1076,563,4,0.529,0.0,9671,0,151
IM,0.202,0.06,5,1.0,0,3.0,0,0.183,9.0,0,22,25,0,0.0,0.0,27,0,18
IL,0.929,0.003,65,2.5,17,6.0,0,0.008,8.0,376,949,464,2,1.621,0.0,4613,0,253
IN,0.029,0.001,67,4.0,65,5.0,0,0.001,7.0,285,2493,1348,5,0.423,0.0,28560,1,782
TZ,0.02,0.033,19,9.8,19,10.5,0,0.137,7.0,7,130,96,0,0.146,0.0,417,0,42
AZ,0.08,0.007,23,4.5,4,2.0,0,0.01,5.0,64,130,119,1,1.076,0.0,764,0,79
IE,1.394,0.002,69,4.2,29,7.0,0,0.003,7.0,990,1374,753,0,2.629,0.0,612,0,595
ID,0.07,0.004,35,39.6,43,15.0,0,0.009,8.0,549,1538,720,4,1.525,0.0,6848,0,588
MY,0.223,0.006,39,7.35,34,11.0,0,0.015,8.0,363,754,382,2,1.901,0.0,3186,0,228
QA,0.388,0.009,30,27.1,5,3.0,0,0.014,6.0,95,138,129,0,1.473,0.0,312,0,119
