code,ip_density,percentile_pgrank,num_intl_countries,percentile_cust_cone,prov_count,percentile_degree,stub_count,percentile_bcen,diameter,tot_peer_edges,num_edges,num_nodes,num_large_providers,num_avg_peer,num_avg_prov,num_announced_ip,num_large_nodes,num_intl_nodes
BD,0.008,0.012,10,19.45,63,15.0,0,0.045,8.0,41,589,316,1,0.259,0.0,2989,0,29
BF,0.005,0.168,8,3.8,2,4.9,0,0.427,5.0,0,13,15,0,0.0,0.0,80,0,10
BG,0.61,0.001,92,7.4,80,9.0,0,0.0,7.0,5555,6894,2523,6,4.403,0.001,6393,3,1970
BA,0.212,0.021,19,9.5,11,6.4,0,0.086,6.0,41,113,93,0,0.882,0.0,577,0,61
BB,0.626,0.185,4,5.4,3,4.7,0,0.167,2.0,0,12,14,0,0.0,0.0,169,0,10
BE,2.389,0.008,43,6.0,34,25.0,0,0.019,9.0,846,1407,446,1,3.794,0.0,1198,0,241
BM,1.811,0.101,6,6.65,4,7.4,0,0.224,5.0,0,31,27,0,0.0,0.0,115,0,16
BN,0.502,0.188,5,3.0,3,7.25,0,0.482,3.0,7,18,16,0,0.875,0.0,115,0,10
BO,0.108,0.111,7,6.25,4,6.85,0,0.394,6.0,0,28,24,0,0.0,0.0,675,0,8
JP,1.598,0.002,43,9.75,19,6.0,0,0.005,8.0,542,1162,770,1,1.408,0.0,1577,0,681
BI,0.004,0.085,6,5.3,3,3.4,0,0.311,5.0,0,22,20,0,0.0,0.0,88,0,9
BJ,0.006,0.134,11,3.1,1,6.7,0,0.305,1.0,4,20,23,0,0.348,0.0,76,0,15
BT,0.043,0.011,22,2.0,2,1.15,0,0.016,4.0,49,57,58,0,1.69,0.0,11,0,54
JM,0.08,0.108,11,12.55,3,6.7,0,0.395,5.0,1,27,24,0,0.083,0.0,521,0,16
JO,0.101,0.054,11,6.0,7,8.8,0,0.216,10.0,5,76,49,0,0.204,0.0,653,0,20
WS,0.115,0.083,6,1.0,0,3.0,0,0.197,3.0,0,21,21,0,0.0,0.0,49,0,15
BR,0.399,0.001,47,7.0,656,31.0,0,0.001,8.0,17562,23723,3940,18,8.915,0.0,29097,27,461
BS,0.37,0.115,1,1.75,1,3.0,0,0.374,8.0,2,12,13,0,0.308,0.0,57,0,7
BY,0.195,0.011,19,6.6,11,5.0,0,0.026,6.0,72,212,154,0,0.935,0.0,845,0,63
BZ,0.446,0.04,13,14.0,2,2.95,0,0.011,2.0,1,35,42,0,0.048,0.0,101,0,33
RU,0.318,0.0,108,7.0,894,13.3,0,0.001,10.0,12035,22910,7155,24,3.364,0.003,26413,11,2485
RW,0.031,0.1,10,7.6,6,8.25,0,0.281,5.0,2,38,28,0,0.143,0.0,62,0,17
RS,0.316,0.007,34,10.9,25,8.3,0,0.014,7.0,304,633,295,2,2.061,0.0,1153,0,150
LT,0.856,0.009,26,6.4,23,7.0,0,0.022,7.0,120,364,238,0,1.008,0.0,1002,0,126
TM,0.004,0.274,4,1.9,1,3.6,0,0.31,2.0,0,6,8,0,0.0,0.0,16,0,5
LR,0.008,0.139,7,1.8,1,3.7,0,0.337,5.0,0,12,14,0,0.0,0.0,39,0,9
RO,0.463,0.001,52,4.0,119,7.0,0,0.003,8.0,710,2818,1440,7,0.986,0.0,6024,0,335
LS,0.052,0.217,3,4.75,2,5.0,0,0.544,4.0,0,11,11,0,0.0,0.0,34,0,4
GW,0.006,0.464,2,1.0,0,1.9,0,0.9,2.0,0,2,3,0,0.0,0.0,5,0,2
GU,1.313,0.049,13,2.8,2,7.0,0,0.201,5.0,38,62,41,0,1.854,0.0,69,0,36
GT,0.038,0.026,19,25.0,10,8.2,0,0.131,8.0,1,148,119,0,0.017,0.0,712,0,85
GR,0.542,0.009,37,7.4,19,7.0,0,0.036,7.0,140,414,293,1,0.956,0.0,683,0,157
GQ,0.025,0.154,4,2.0,2,2.5,0,0.056,2.0,1,8,11,0,0.182,0.0,33,0,6
BH,0.337,0.011,33,11.4,10,4.0,0,0.048,6.0,85,140,123,0,1.382,0.0,452,0,106
GY,0.084,0.293,3,2.8,1,3.7,0,0.74,3.0,0,6,7,0,0.0,0.0,22,0,4
GE,0.267,0.002,57,11.0,9,2.0,0,0.002,7.0,490,616,533,0,1.839,0.0,437,0,465
GD,0.156,0.15,7,6.1,1,4.25,0,0.102,2.0,2,13,16,0,0.25,0.0,37,0,12
GB,1.904,0.001,132,6.0,256,41.0,0,0.001,8.0,20183,25843,5141,10,7.852,0.001,10671,11,3544
GA,0.204,0.163,5,3.8,2,5.5,0,0.485,5.0,0,16,15,0,0.0,0.0,78,0,6
SV,0.108,0.061,5,3.0,4,4.0,0,0.196,1.0,0,29,30,0,0.0,0.0,793,0,12
GN,0.003,0.138,6,1.0,0,3.0,0,0.076,3.0,0,10,13,0,0.0,0.0,35,0,7
GM,0.016,0.133,3,2.0,2,4.0,0,0.238,4.0,0,13,11,0,0.0,0.0,31,0,4
GL,0.4,0.464,2,1.0,0,1.9,0,0.9,2.0,0,2,3,0,0.0,0.0,6,0,2
GH,0.039,0.03,13,5.75,8,7.3,0,0.153,7.0,5,104,75,0,0.133,0.0,285,0,35
OM,0.216,0.008,28,190.55,3,2.2,0,0.012,5.0,125,161,97,1,2.577,0.0,344,0,89
TN,0.476,0.135,4,7.6,5,6.1,0,0.554,6.0,4,20,19,0,0.421,0.0,639,0,8
BW,0.062,0.019,20,7.3,2,2.0,0,0.014,4.0,42,68,67,0,1.254,0.0,102,0,52
HR,0.553,0.013,22,8.85,18,7.6,0,0.038,7.0,65,270,189,1,0.688,0.0,299,0,82
HT,0.015,0.188,4,4.25,2,4.8,0,0.58,4.0,0,12,12,0,0.0,0.0,149,0,6
HU,0.599,0.004,34,3.0,29,6.0,0,0.006,8.0,389,769,390,1,1.995,0.0,1120,0,206
HK,1.588,0.001,103,9.3,76,9.0,0,0.0,7.0,3487,5155,2486,4,2.805,0.0,8851,2,2089
HN,0.06,0.057,7,9.0,5,9.3,0,0.212,8.0,1,70,55,0,0.036,0.0,622,0,17
CR,0.542,0.028,14,4.4,13,8.9,0,0.071,7.0,24,152,102,0,0.471,0.0,2583,0,48
AD,0.592,0.434,3,1.0,0,2.7,0,0.85,2.0,0,3,4,0,0.0,0.0,37,0,3
PR,0.295,0.028,13,14.6,13,9.25,0,0.085,5.0,30,144,106,0,0.566,0.0,1153,0,53
PS,0.14,0.041,4,4.3,9,6.45,0,0.126,5.0,4,70,52,0,0.154,0.0,761,0,16
PW,0.473,0.216,3,1.0,0,2.0,0,0.2,3.0,0,4,6,0,0.0,0.0,14,0,3
PT,0.614,0.007,45,18.6,15,5.4,0,0.019,6.0,195,378,259,1,1.506,0.0,638,0,190
PY,0.165,0.079,6,10.8,4,9.95,0,0.191,8.0,0,51,44,0,0.0,0.0,620,0,16
IQ,0.019,0.002,54,16.25,12,3.0,0,0.004,6.0,338,469,417,0,1.621,0.0,729,0,353
PA,0.496,0.015,19,5.6,15,6.0,0,0.069,10.0,17,176,136,0,0.25,0.0,743,0,58
PF,0.223,0.323,1,2.8,1,4.1,0,0.753,3.0,0,6,7,0,0.0,0.0,236,0,4
PG,0.008,0.086,4,5.6,3,4.85,0,0.203,4.0,6,25,24,0,0.5,0.0,47,0,16
PE,0.102,0.064,12,12.75,9,9.1,0,0.235,7.0,0,72,59,0,0.0,0.0,1648,0,33
PK,0.029,0.01,32,11.2,19,6.0,0,0.017,5.0,81,245,184,0,0.88,0.0,3713,0,105
PH,0.055,0.005,26,6.7,30,10.0,0,0.017,8.0,153,772,389,1,0.787,0.0,3306,0,173
