code,ip_density,diameter,avg_pgrank,num_intl_countries,num_edges,num_nodes,num_large_providers,avg_deg,avg_bcen,largest_cust_cone,num_announced_ip,num_intl_nodes
MO,0.577,2.0,0.059,6,15,17,0,1.765,0.024,3,99,12
MN,0.076,5.0,0.011,14,94,91,0,2.066,0.015,35,263,54
MH,0.16,1.0,0.5,1,1,2,0,1.0,0.0,1,9,1
US,5.065,11.0,0.0,113,54045,20208,46,5.349,0.0,27788,159113,4626
MU,1.509,8.0,0.001,57,720,680,2,2.118,0.002,146,296,666
MT,1.428,6.0,0.016,10,70,63,0,2.222,0.031,21,307,37
MW,0.025,3.0,0.032,11,27,31,0,1.742,0.02,2,118,23
MV,0.16,2.0,0.043,11,21,23,0,1.826,0.027,1,202,21
MR,0.012,3.0,0.2,1,5,5,0,2.0,0.233,4,17,2
AU,2.071,8.0,0.001,10,3652,1396,7,5.232,0.001,743,19025,240
UG,0.008,12.0,0.017,17,77,59,0,2.61,0.052,26,277,34
UA,0.258,7.0,0.0,42,4116,2266,10,3.633,0.001,3475,10297,707
MX,0.23,8.0,0.004,13,362,223,1,3.247,0.01,158,10025,29
MZ,0.016,2.0,0.038,6,27,26,0,2.077,0.043,7,253,14
FR,1.204,8.0,0.001,50,4589,1160,5,7.912,0.002,1272,5355,326
AW,0.616,2.0,0.333,0,2,3,0,1.333,0.333,3,54,1
AF,0.006,1.0,0.028,2,41,36,0,2.278,0.025,33,253,2
FI,2.487,7.0,0.002,33,676,522,0,2.59,0.003,94,672,327
FJ,0.165,7.0,0.056,4,22,18,0,2.444,0.132,2,50,12
FO,0.892,2.0,0.2,2,3,5,0,1.2,0.033,1,11,3
NI,0.067,1.0,0.063,1,17,16,0,2.125,0.079,9,308,1
NL,2.802,8.0,0.001,54,7932,1342,7,11.821,0.001,1416,4438,732
NO,3.129,7.0,0.002,38,971,581,2,3.343,0.003,248,1313,360
NA,0.192,4.0,0.021,13,58,48,0,2.417,0.037,17,80,38
VU,0.077,3.0,0.067,2,23,15,0,3.067,0.071,2,44,10
NC,0.621,2.0,0.048,4,21,21,0,2.0,0.03,10,62,12
NE,0.002,2.0,0.111,3,6,9,0,1.333,0.024,2,26,5
NG,0.014,7.0,0.007,16,198,148,0,2.676,0.016,66,1177,36
NZ,1.521,6.0,0.003,12,712,387,3,3.68,0.006,160,2466,75
NP,0.018,7.0,0.021,6,64,48,0,2.667,0.049,24,436,10
CI,0.029,4.0,0.083,1,13,12,0,2.167,0.129,15,465,4
CH,2.41,8.0,0.001,45,3869,1062,4,7.286,0.002,585,2312,558
