cc,ip_density,diameter,avg_p_len,percentile_cust_cone,avg_h_im,percentile_degree,stub_count,num_intl_countries,tot_peer_edges,num_edges,num_nodes,num_large_providers,avg_deg,avg_v_im,num_intl_nodes,num_large_nodes,num_announced_ip,max_h_im,max_p_len,max_v_im
NI,0.001,0.4615,0.5749,0.021,0.1589,0.098,0.0013,0.0316,0.0,0.0006,0.0012,0.0,0.1302,0.0,0.0009,0.0,0.0019,0.0066,0.3427,0.0
NL,0.0439,0.4615,0.0824,0.0336,0.6073,1.0,0.0383,0.5579,0.6263,0.2538,0.1262,0.1522,0.9027,0.036,0.2794,0.2963,0.0279,0.2477,0.0993,0.0307
NO,0.0491,0.3846,0.1789,0.0383,0.4963,0.08,0.0126,0.3842,0.064,0.0296,0.0516,0.0435,0.1928,0.0596,0.12,0.037,0.0082,0.0881,0.5618,0.0211
NA,0.003,0.2308,0.3538,0.0656,0.6438,0.04,0.0006,0.1421,0.0054,0.0024,0.0043,0.0,0.1871,0.0014,0.011,0.0,0.0005,0.0166,0.1461,0.0001
VU,0.0012,0.1538,0.406,0.0084,0.2453,0.205,0.0003,0.0105,0.0005,0.0004,0.0006,0.0,0.1924,0.0,0.0012,0.0,0.0003,0.0063,0.2079,0.0
NE,0.0,0.3077,0.3399,0.0079,0.0138,0.06,0.0004,0.0368,0.0,0.0002,0.0006,0.0,0.0479,0.0,0.0012,0.0,0.0002,0.0004,0.4007,0.0
NG,0.0002,0.3846,0.2158,0.0441,0.3572,0.088,0.0066,0.1737,0.0034,0.0047,0.0096,0.0,0.1488,0.0004,0.0136,0.0,0.0074,0.0592,0.3083,0.0001
NZ,0.0239,0.4615,0.2982,0.042,0.356,0.22,0.0191,0.1316,0.0103,0.0129,0.0196,0.0652,0.2354,0.0014,0.0183,0.0,0.0155,0.0646,0.3528,0.0007
NP,0.0003,0.4615,0.3676,0.0588,0.1429,0.145,0.0017,0.0263,0.0001,0.0012,0.0022,0.0,0.1746,0.0,0.0019,0.0,0.0027,0.0095,0.3798,0.0
CI,0.0004,0.2308,0.501,0.0645,0.1455,0.14,0.0004,0.0316,0.0,0.0003,0.0008,0.0,0.1077,0.0,0.0014,0.0,0.0029,0.0066,0.2436,0.0
CH,0.0378,0.4615,0.2445,0.0257,0.6457,0.2,0.0341,0.5263,0.3458,0.1409,0.115,0.087,0.5144,0.1576,0.2609,0.1852,0.0145,0.1535,0.1236,0.1006
CO,0.0057,0.6154,0.5013,0.0682,0.2503,0.111,0.0058,0.1263,0.0014,0.0036,0.0069,0.0,0.1619,0.0006,0.0083,0.0,0.0482,0.0218,0.5311,0.0001
CN,0.0039,0.4615,0.7533,0.1732,0.3569,0.06,0.0056,0.2,0.0362,0.0225,0.0482,0.0652,0.1393,0.0738,0.1225,0.037,0.108,0.0698,0.4472,0.0341
CM,0.0002,0.0769,0.4487,0.0315,0.1281,0.059,0.0006,0.0368,0.0,0.0003,0.0008,0.0,0.0741,0.0,0.0012,0.0,0.0012,0.0057,0.2614,0.0
CL,0.009,0.4615,0.5028,0.0976,0.2235,0.224,0.0096,0.0842,0.003,0.0057,0.0094,0.0217,0.2076,0.0016,0.0086,0.0,0.0212,0.0151,0.3558,0.0004
CA,0.0315,0.5385,0.1415,0.0315,0.5584,0.22,0.0661,0.4579,0.1643,0.0958,0.1017,0.1087,0.3748,0.0539,0.1587,0.0741,0.1131,0.1642,0.2112,0.0402
CG,0.0002,0.1538,0.3153,0.0239,0.113,0.06,0.0006,0.0316,0.0,0.0003,0.0008,0.0,0.0823,0.0,0.0013,0.0,0.0005,0.0029,0.1236,0.0
CF,0.0,0.0769,0.4638,0.0,0.0,0.016,0.0001,0.0105,0.0,0.0,0.0001,0.0,0.0181,0.0,0.0002,0.0,0.0001,0.0,0.7603,0.0
CD,0.0,0.0769,0.4173,0.0118,0.1345,0.085,0.001,0.0684,0.0,0.0005,0.0014,0.0,0.0754,0.0,0.0022,0.0,0.0005,0.0064,0.1784,0.0
CZ,0.0132,1.0,0.309,0.0262,0.3125,0.16,0.03,0.2316,0.0447,0.0385,0.0549,0.0435,0.2556,0.0011,0.0964,0.037,0.0118,0.1105,0.5146,0.0011
CY,0.0142,0.3846,0.2859,0.0291,0.2716,0.08,0.004,0.1684,0.0087,0.0057,0.0092,0.0,0.2153,0.0004,0.0178,0.0,0.0042,0.0402,0.1067,0.0001
CR,0.0085,0.4615,0.4402,0.0231,0.2891,0.156,0.0029,0.0737,0.0011,0.0023,0.0042,0.0,0.1802,0.0005,0.0056,0.0,0.0162,0.0115,0.3469,0.0001
CU,0.0003,0.0769,0.3402,0.0142,0.0,0.06,0.0001,0.0053,0.0,0.0001,0.0002,0.0,0.0604,0.0,0.0002,0.0,0.0001,0.0,0.5955,0.0
SZ,0.0006,0.0769,0.3595,0.0189,0.0,0.06,0.0001,0.0053,0.0,0.0001,0.0002,0.0,0.0604,0.0,0.0002,0.0,0.0001,0.0,0.4944,0.0
SY,0.0006,0.1538,0.4518,0.0152,0.083,0.05,0.0001,0.0053,0.0,0.0001,0.0002,0.0,0.0604,0.0,0.0002,0.0,0.0008,0.0021,0.4607,0.0
KG,0.0007,0.3077,0.8384,0.0349,0.097,0.148,0.0014,0.0368,0.0003,0.001,0.0019,0.0,0.1676,0.0,0.0021,0.0,0.0012,0.004,0.5955,0.0
KE,0.0017,0.3077,0.3146,0.0829,0.3106,0.24,0.0036,0.1474,0.0048,0.0039,0.0066,0.0,0.1996,0.0002,0.0115,0.0,0.0055,0.0368,0.1775,0.0
SR,0.0024,0.0769,0.0118,0.0,0.0,0.014,0.0002,0.0105,0.0,0.0,0.0002,0.0,0.0129,0.0,0.0003,0.0,0.0005,0.0,0.3933,0.0
KH,0.0003,0.3846,0.4887,0.0556,0.2917,0.114,0.0025,0.1737,0.0173,0.0078,0.0159,0.0,0.1523,0.0295,0.0395,0.0,0.0061,0.0294,0.3798,0.0051
SV,0.0017,0.0,0.5176,0.0157,0.1011,0.06,0.001,0.0211,0.0,0.0004,0.0012,0.0,0.0845,0.0,0.0013,0.0,0.005,0.0045,0.3427,0.0
KM,0.0002,0.0769,0.1344,0.0,0.0,0.018,0.0001,0.0053,0.0,0.0,0.0,0.0,0.0301,0.0,0.0001,0.0,0.0001,0.0,0.2921,0.0
ST,0.0011,0.0,0.0693,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199,0.0
SK,0.0077,0.4615,0.4435,0.063,0.2775,0.182,0.0071,0.1579,0.009,0.0075,0.0127,0.0217,0.1997,0.0008,0.0215,0.0,0.0026,0.0462,0.164,0.0002
KR,0.035,0.3846,0.4299,0.0745,1.0,0.04,0.0051,0.1842,0.0061,0.0164,0.0301,0.0435,0.179,0.0189,0.0758,0.0,0.0379,0.0464,0.2382,0.0013
SI,0.0197,0.3077,0.2427,0.0236,0.5086,0.1,0.0167,0.1789,0.0077,0.0108,0.0165,0.0217,0.2327,0.0034,0.0171,0.0,0.0035,0.0509,0.17,0.0008
SO,0.0,0.3077,0.4224,0.0058,0.1803,0.092,0.0006,0.0211,0.0,0.0002,0.0005,0.0,0.0905,0.0,0.0005,0.0,0.0002,0.0049,0.4688,0.0
SN,0.0004,0.0769,0.2204,0.0105,0.0,0.052,0.0001,0.0263,0.0,0.0001,0.0003,0.0,0.0503,0.0,0.0006,0.0,0.0001,0.0,0.4045,0.0
SM,0.0163,0.3846,0.3291,0.0178,0.4757,0.04,0.0004,0.0368,0.0009,0.0005,0.0013,0.0,0.0905,0.0,0.0029,0.0,0.0005,0.0123,0.1586,0.0
SL,0.0001,0.4615,0.1807,0.0136,0.1522,0.084,0.0005,0.0263,0.0,0.0002,0.0006,0.0,0.0905,0.0,0.0008,0.0,0.0002,0.0065,0.0592,0.0
SB,0.0004,0.3077,0.5201,0.0,0.1099,0.04,0.0003,0.0158,0.0,0.0001,0.0002,0.0,0.0905,0.0,0.0003,0.0,0.0002,0.0041,0.427,0.0
SA,0.0044,0.4615,0.3168,0.0787,0.4767,0.1,0.0067,0.1842,0.0043,0.0054,0.0101,0.0435,0.1734,0.0004,0.0157,0.0,0.03,0.0475,0.2638,0.0001
SG,0.0214,0.5385,0.3538,0.0682,0.4047,0.06,0.0156,0.5421,0.1522,0.0671,0.1358,0.0652,0.1536,1.0,0.3526,0.037,0.0321,0.1234,0.0737,0.4472
