cc,ip_density,diameter,avg_p_len,percentile_cust_cone,avg_h_im,percentile_degree,stub_count,num_intl_countries,tot_peer_edges,num_edges,num_nodes,num_large_providers,avg_deg,avg_v_im,num_intl_nodes,num_large_nodes,num_announced_ip,max_h_im,max_p_len,max_v_im
IQ,0.0003,0.3846,0.3711,0.0853,0.3596,0.04,0.0038,0.2789,0.0148,0.0071,0.0172,0.0,0.1131,0.0004,0.041,0.0,0.0046,0.0242,0.3652,0.0
IS,0.0427,0.3077,0.152,0.0577,0.3993,0.1,0.0025,0.1263,0.0152,0.0067,0.0062,0.0,0.4395,0.0003,0.012,0.0,0.001,0.0259,0.0899,0.0
IR,0.0024,0.4615,0.8595,0.0401,0.3406,0.14,0.0215,0.0526,0.0002,0.009,0.0161,0.0435,0.185,0.0009,0.0024,0.0,0.0331,0.0546,0.7064,0.0003
AM,0.0032,0.3846,0.7683,0.1582,0.27,0.202,0.0027,0.1158,0.0054,0.0038,0.0061,0.0,0.2112,0.0004,0.0111,0.0,0.0027,0.0304,0.3393,0.0001
IT,0.0138,0.3846,0.1809,0.021,0.6116,0.487,0.0427,0.6421,0.3045,0.1322,0.0923,0.0652,0.6169,0.1045,0.1785,0.1481,0.0274,0.1246,0.0397,0.0562
VN,0.0027,0.3846,0.3967,0.2404,0.8129,0.06,0.0012,0.1316,0.0053,0.0054,0.0104,0.0217,0.1664,0.0014,0.0262,0.0,0.0214,0.0401,0.2315,0.0001
AR,0.0069,0.4615,0.3452,0.0315,0.4203,0.14,0.0256,0.1579,0.0065,0.0163,0.0232,0.087,0.2559,0.0022,0.0175,0.0,0.0608,0.0784,0.4876,0.0009
AU,0.0325,0.7692,0.2153,0.021,0.5503,0.16,0.0735,0.5526,0.2027,0.1069,0.1291,0.1522,0.3184,0.1556,0.2244,0.1111,0.1196,0.115,0.132,0.0995
AT,0.0207,0.3846,0.3188,0.0391,0.666,0.18,0.0263,0.4316,0.1537,0.0748,0.0878,0.087,0.3301,0.0569,0.1973,0.1111,0.016,0.1097,0.164,0.0263
IN,0.0004,0.4615,0.4809,0.021,0.7019,0.08,0.0359,0.3526,0.0125,0.0378,0.0558,0.1087,0.244,0.0085,0.0914,0.037,0.1795,0.1769,0.218,0.0036
TZ,0.0003,0.4615,0.2226,0.0514,0.2054,0.19,0.0024,0.0947,0.0003,0.002,0.0039,0.0,0.1546,0.0002,0.0048,0.0,0.0026,0.0166,0.2416,0.0
AZ,0.0012,0.3077,0.3593,0.0236,0.4449,0.02,0.0026,0.1158,0.0028,0.002,0.0048,0.0217,0.1073,0.0002,0.0091,0.0,0.0048,0.0115,0.4337,0.0
IE,0.0218,0.4615,0.1812,0.022,0.4292,0.12,0.0092,0.3632,0.0434,0.0209,0.0311,0.0,0.2407,0.0612,0.0694,0.0,0.0038,0.0513,0.1924,0.0131
ID,0.0011,0.5385,0.455,0.2078,0.3764,0.28,0.0064,0.1789,0.024,0.0233,0.0297,0.087,0.2962,0.0013,0.0686,0.0,0.043,0.1091,0.2328,0.0008
UA,0.004,0.4615,0.2206,0.0315,0.4914,0.18,0.0967,0.3895,0.1199,0.1025,0.1447,0.2174,0.2595,0.0051,0.2134,0.0741,0.0647,0.3355,0.2539,0.0098
QA,0.0061,0.3846,0.3977,0.1422,0.5825,0.04,0.0004,0.1579,0.0042,0.0022,0.0055,0.0,0.1027,0.0001,0.0143,0.0,0.002,0.0151,0.4382,0.0
MZ,0.0002,0.0,0.3103,0.0262,0.1932,0.06,0.0012,0.0421,0.0,0.0007,0.0017,0.0,0.0991,0.0001,0.0024,0.0,0.0016,0.0072,0.3164,0.0
