AS      | CC | Registry | Allocated  | AS Name
10044   | KR | apnic    | 2000-06-16 | RDA-AS-KR Rural Development Adminstration (RDA),KR
10045   | KR | apnic    | 2000-06-16 | TNUTNET-AS Hanbat National University,KR
10046   | KR | apnic    | 2000-06-16 | HOWON-AS HOWON UNIVERSITY,KR
10047   | KR | apnic    | 2000-06-16 | NSUIDC-AS-KR Namseoul university,KR
10049   | KR | apnic    | 2000-06-16 | SKNET-AS SK C&C Co., Ltd.,KR
10050   | KR | apnic    | 2000-06-16 | NL-AS-KR The National Library of Korea,KR
10051   | KR | apnic    | 2000-06-16 | ANYSAT-AS ANYSAT,KR
10052   | KR | apnic    | 2000-06-16 | KNU-AS Kyungpook National Univ.,KR
10053   | KR | apnic    | 2000-06-16 | AYTCNET-AS Anyang Technical College,KR
10054   | KR | apnic    | 2000-06-16 | CMBKJ-AS-KR CMB Kwnagju Easten Broadcasting,KR
10055   | KR | apnic    | 2000-06-16 | KORAIL-AS-KR Korean National Railroad Administration,KR
10056   | KR | apnic    | 2000-06-16 | HDMF-AS Hyundai Marin&Fire Insurance,KR
10058   | KR | apnic    | 2000-06-16 | CU-AS-KR NACUFOK,KR
10059   | KR | apnic    | 2000-06-16 | KIDC-AS LG DACOM KIDC,KR
10061   | KR | apnic    | 2000-06-16 | FSS-AS Financial Supervisory Service,KR
10063   | KR | apnic    | 2000-06-16 | KMA-AS Korea Meteorological Administration,KR
10064   | KR | apnic    | 2000-06-16 | SANGNOK-AS-KR GEPS Cheonan Sagnokresort,KR
10066   | KR | apnic    | 2000-06-16 | GAYANET-AS-KR CJ-CABLENET,KR
10068   | KR | apnic    | 2000-06-16 | PRONET-AS Honhjin Network,KR
10069   | KR | apnic    | 2000-06-16 | SMLINE-AS-KR Seoul Metro,KR
10071   | KR | apnic    | 2000-06-16 | ANYANG-AS anyang University,KR
10073   | KR | apnic    | 2000-06-16 | KNOU-AS Korea National Open University,KR
10074   | SG | apnic    | 2000-09-21 | IVANET-SIN-AP iBasis Singapore ICO,SG
10076   | MN | apnic    | 2000-06-20 | ASN-ERDEMNET 
10077   | IN | apnic    | 2000-06-20 | TIKONAINFINET-AS-1 Tikona Infinet Ltd,IN
10080   | AU | apnic    | 2007-08-20 | WEBSHIELD-ADE-AS-AP Webshield, Internet Service Provider, Adelaide, Australia,AU
10081   | MY | apnic    | 2000-06-23 | DIGI-MY DiGi Telecommunications Sdn Bhd,MY
10082   | HK | apnic    | 2010-12-06 | MS-HK-AS-AP Morgan Stanley Asia Limited,HK
10084   | AU | apnic    | 2000-09-26 | WAIA-TRANSIT-AP Western Australian Internet Association,AU
10085   | TW | apnic    | 2000-06-26 | UNIGATE-OVERSEA-IX-AP PEER WITH OVERSEA ISP,TW
10086   | SG | apnic    | 2000-06-28 | T-SYSTEMS-SG T-SYSTEMS SINGAPORE PTE LTD,SG
10088   | KR | apnic    | 2002-11-15 | KWANGWOON-UNIV-AS-AP KWANGWOON University in Seoul, Korea,KR
10089   | TH | apnic    | 2005-01-05 | DTNCORP-TH-AP Total Access Communication PLC.,TH
10091   | SG | apnic    | 2000-06-29 | SCV-AS-AP StarHub Cable Vision Ltd,SG
10094   | BN | apnic    | 2000-06-30 | BRUNET-ASN BruNet - Telekom Brunei Berhad,BN
10096   | PH | apnic    | 2000-07-03 | EASYCALL-PH-AS Easycall Communications Phils., Inc.,PH
10097   | AU | apnic    | 2000-07-03 | FLOWCOM Flow Communications 2/541 Kent St Sydney NSW 2000,AU
10098   | HK | apnic    | 2007-10-24 | HENDERSON-HK Henderson Data Centre Limited,HK
10099   | HK | apnic    | 2000-07-06 | HKUNICOM1-AP China Unicom (Hong Kong) Operations Limited,HK
101     | US | arin     |            | WASH-NSF-AS - University of Washington,US
10100   | SG | apnic    | 2000-07-06 | ASN-AP-UBSW 
10101   | BN | apnic    | 2005-08-09 | SIMPUR-BN Simpur ISP,BN
