AS      | CC | Registry | Allocated  | AS Name
23763   | AU | apnic    | 2003-06-03 | FTID-MELB-AS-AP FT Interactive Data Melbourne,AU
23765   | AP | apnic    | 2003-06-12 | EA-AU-AP Electronic Arts, Australia,AP
23766   | AP | apnic    | 2003-06-12 | EA-SG-AP Electronic Arts, Singapore,AP
23767   | SG | apnic    | 2003-06-12 | A-STAR-AS-AP A-STAR,SG
23768   | IN | apnic    | 2003-06-12 | ROLTANET-AS-IN RoltaNet,IN
23769   | AU | apnic    | 2003-06-13 | OSRPARR-ASN The Office of State Revenue is part of the NSW Treasury.,AU
23770   | IN | apnic    | 2009-09-25 | NCBS-IN Tata Institute of Fundamental Research,IN
23771   | CN | apnic    | 2003-06-25 | SXBCTV-AP SXBCTV ,Internet Service Provider,CN
23772   | IN | apnic    | 2003-06-16 | ORTELNET-AS M/s Ortel Communications Ltd,IN
23773   | JP | apnic    | 2003-06-16 | EKZM EKZM co.,ltd.,JP
23774   | JP | apnic    | 2003-06-16 | A-DNS-JP Japan Registry Service Co., Ltd.,JP
23775   | JP | apnic    | 2003-06-16 | TAMATELE-NET Tamashima TV Inc.,JP
23776   | JP | apnic    | 2003-06-16 | NEXS NEC Nexsolutions,Ltd.,JP
23777   | JP | apnic    | 2003-06-16 | VIPALETTE NTT BUSINESS SOLUTIONS CORPORATION,JP
23778   | JP | apnic    | 2003-06-16 | CANET IMIZU CABLE NETWORK CO.,LTD.,JP
23779   | JP | apnic    | 2003-06-16 | N-BONE NTT Communications Corporation,JP
23780   | JP | apnic    | 2003-06-16 | CTB CTB Media Inc.,JP
23781   | JP | apnic    | 2003-06-16 | TOYAMA-AN-AS Toyama University,JP
23783   | JP | apnic    | 2003-06-16 | CNA Cable Networks Akita Co.,ltd.,JP
23784   | JP | apnic    | 2003-06-16 | POLEXCHENGE SQUARE ENIX CO., LTD.,JP
23785   | JP | apnic    | 2003-06-16 | SUNFIELD SUN FIELD INTERNET LIMITED,JP
23786   | JP | apnic    | 2003-06-16 | MABLE San-in Cable Vision CO.,LTD,JP
23788   | JP | apnic    | 2003-06-16 | HICT Jupiter Telecommunications Co., Ltd.,JP
2379    | US | arin     |            | EMBARQ-WNPK - Embarq Corporation,US
23790   | JP | apnic    | 2003-06-16 | KCN-TV Kumamoto Cable Network Corporation,JP
23791   | JP | apnic    | 2003-06-16 | LCV LCV Corporation,JP
23793   | JP | apnic    | 2003-06-16 | AIST National Institute of Advanced Industrial Science and Technology,JP
23794   | JP | apnic    | 2003-06-16 | BMCDN Club iT Corporation,JP
23795   | JP | apnic    | 2003-06-16 | FURUKAWA Fitec Corp.,JP
23796   | JP | apnic    | 2003-06-16 | GEMNET NTT Service Evolution Laboratories,JP
23798   | JP | apnic    | 2003-06-16 | VRTC-NET VR Techno Center,inc,JP
23799   | JP | apnic    | 2003-06-16 | NDA National Defense Academy,JP
23800   | JP | apnic    | 2003-06-16 | FUKUI-NCT Fukui National College of Technology,JP
23801   | JP | apnic    | 2003-06-16 | SOL-GIFU NTT Communications,JP
23804   | JP | apnic    | 2003-06-16 | AIN-NET Nonprofit Organization Kitaura Hana Net,JP
23805   | JP | apnic    | 2003-06-16 | WATVNET Watarase Television Co.,Ltd,JP
23807   | JP | apnic    | 2003-06-16 | RITSUMEI Ritsumeikan University,JP
23808   | JP | apnic    | 2003-06-16 | TOSHIMA-NET TOSHIMA CABLE NETWORK CO.,LTD,JP
23809   | JP | apnic    | 2003-06-16 | TV-NARUTO Televi Naruto .CO.,LTD,JP
2381    | US | arin     |            | WISCNET1-AS - WiscNet,US
23815   | JP | apnic    | 2003-06-16 | JPIX-RS Japan Internet Exchange Co., Ltd.,JP
23816   | JP | apnic    | 2003-06-16 | YAHOO Yahoo Japan Corporation,JP
23817   | JP | apnic    | 2003-06-16 | KOCHI-IDC FUJITSU SHIKOKU Systems Limited.,JP
23818   | JP | apnic    | 2003-06-16 | JETINTERNET JETINTERNET Corporation,JP
23820   | JP | apnic    | 2003-06-16 | RAKUTEN Rakuten,Inc.,JP
23822   | JP | apnic    | 2003-06-16 | HAGINET Hagi Cable Network Co., Ltd,JP
23824   | JP | apnic    | 2003-06-16 | FUTURE Future Spirits Co.,Ltd.,JP
23826   | JP | apnic    | 2003-06-16 | DAIDO-IT Daido University,JP
23827   | JP | apnic    | 2003-06-16 | ANC-NET Azumino Network Community TV,JP
23828   | JP | apnic    | 2003-06-16 | CHERRY-NET Misaki Town,JP
23829   | JP | apnic    | 2003-06-16 | MEON-YAMA NTT NEOMEIT YAMAGUCHI CORPORATION,JP
23833   | JP | apnic    | 2003-06-16 | MARUSAN-NET Marusan Securities Co., LTD.,JP
23835   | JP | apnic    | 2003-06-16 | SEGANET Sega Corporation,JP
23836   | JP | apnic    | 2003-06-16 | RELNET RELATION Co., Ltd.,JP
23838   | NZ | apnic    | 2008-04-10 | SOLARIX-INTERNET-AS-AP Solarix Networks Limited,NZ
23839   | CN | apnic    | 2003-06-27 | LIAOHEOILFIELD-AS-AP LiaoHe Oilfield Telecommunication Company,CN
2384    | US | arin     |            | AOCNET - Architect of the Capitol,US
23840   | CN | apnic    | 2003-06-27 | ITTEC-AS-AP Tianjin Advanced Information Products Corporation Ltd.,CN
23841   | CN | apnic    | 2003-06-27 | TJBTN-AS23841 TIANJIN BROADCAST &TV NETWORK CO.LTD,CN
23842   | CN | apnic    | 2003-06-27 | SZINC-AS-AP Shenzhen Information and Network Center,CN
23844   | CN | apnic    | 2003-06-27 | BJ-GUANGHUAN-AP Beijing Guanghuan Xinwang Digital,CN
23848   | CN | apnic    | 2003-06-27 | CNNIC-PAIG-AP PING AN INSURANCE (GROUP) OF CHINA ,LTD.,CN
2385    | KR | apnic    | 2002-08-01 | JUNGBU-AS-KR JUNGBU,KR
23851   | CN | apnic    | 2003-06-27 | CNNIC-CQCNC-AP CHONGQING CNC BROADBAND NETWORKS CO.,LTD,CN
23853   | CN | apnic    | 2003-06-27 | CNNIC-DSNET-AP Shanghai Data Solution Co., Ltd.,CN
23854   | AU | apnic    | 2003-07-03 | FAIRFAX-AS-AP AS,AU
23855   | SG | apnic    | 2005-08-24 | SINGAREN-GIX-AS-AP Singapore Advanced Research and Education Network,SG
23857   | AU | apnic    | 2005-08-29 | NEXTEP-AU-AP NEXTEP Broadband, Internet Service Provider,AU
23859   | AU | apnic    | 2005-08-31 | UNSW-AS-AP University of New South Wales,AU
2386    | US | arin     |            | INS-AS - AT&T Data Communications Services,US
23860   | IN | apnic    | 2005-08-31 | ALLIANCE-GATEWAY-AS-AP Alliance Broadband Services Pvt. Ltd.,IN
23861   | ID | apnic    | 2014-10-09 | PTDSI-AS-AP PT Daewoo Securities Indonesia,ID
23862   | PH | apnic    | 2003-07-07 | DILNET-AS-AP University of the Philippines Diliman,PH
23863   | AU | apnic    | 2005-09-01 | GKY-AS-AP GKY Distributors Pty Ltd,AU
23865   | AU | apnic    | 2003-07-22 | NEXTDIGITAL-AS-AP Next Digital Group Pty Ltd AS,AU
23866   | NP | apnic    | 2003-07-22 | SNET-AS-AP Square Net,NP
23869   | NZ | apnic    | 2003-07-29 | NZRS-AP NZRS infrastructure for NZ TLD SRS and DNS servers,NZ
23870   | IN | apnic    | 2009-09-10 | TELEWINGS7-IN 6 Community Center,IN
23871   | AU | apnic    | 2003-08-01 | AINS-AS-AP Australia Internet Solutions,AU
23872   | IN | apnic    | 2003-08-01 | DELDSLCORE-AS-AP delDSL Internet Pvt. Ltd.,IN
23873   | TH | apnic    | 2003-08-04 | TRIPETCH-AS-TH Tripetch Isuzu Thailand, Automobile Business, Bangkok,TH
23875   | HK | apnic    | 2003-08-06 | CSL-AS-AP CSL Limited,HK
23876   |    | apnic    |            | 
23877   | AU | apnic    | 2003-08-15 | DIGITALRIVER-AS-AP Digital River AS,AU
23878   | NZ | apnic    | 2009-07-20 | SOFTSOURCE-AS-AP Softsource Ltd,NZ
23879   | US | apnic    | 2003-08-18 | YAHOO-IN1-AS Internet Content Provider,US
23880   | US | apnic    | 2003-08-18 | YAHOO-AEA Internet content provider,US
23881   | HK | apnic    | 2003-08-19 | UDOMAIN-AS-AP UDomain Web Hosting Company Ltd,HK
23883   | TH | apnic    | 2008-12-03 | MOVACI-TH-AP Movaci Technology,TH
23884   | TH | apnic    | 2003-08-22 | PROENNET-AS Proimage Engineering and Communication Co.,Ltd.,TH
23885   | JP | apnic    | 2003-08-22 | ORACLEJAPAN-AS-JP Oracle Japan Corporation,JP
23886   | AU | apnic    | 2003-08-28 | PWCS-AS-AP Port Waratah Coal Services Ltd,AU
23887   | PH | apnic    | 2003-09-09 | PRODATA-TRANSIT-AS-AP PRODATANET INC.,PH
23888   | PK | apnic    | 2003-09-10 | NTC-AS-AP National Telecommunication Corporation HQ,PK
23889   | MU | afrinic  | 2004-09-10 | MauritiusTelecom,MU
23890   | HK | apnic    | 2003-09-11 | LINE-AS-AP Global Logistics Service,HK
23891   | TH | apnic    | 2003-09-12 | PATARASEC-AS-AP Merrill Lynch Phatra Securities,TH
23893   | BD | apnic    | 2010-12-08 | BPL-BD House No:03, Road no: 23/A,BD
23899   | VN | apnic    | 2003-09-23 | VNIX-AS-VN Vietnam Internet network information center (VNNIC),VN
239     | CA | arin     |            | UTORONTO-AS - University of Toronto,CA
23900   | LA | apnic    | 2005-04-18 | PLANET-ONLINE-AS-LA Planet Online Laos, Internet Service Provider in LAO PDR,LA
23901   | IN | apnic    | 2003-09-26 | SYMPH Global Symphony,IN
23902   | VN | apnic    | 2003-09-26 | VNNIC-AS-VN Vietnam Internet network information center (VNNIC),VN
23903   | IN | apnic    | 2005-09-07 | AKAMAI-AS-BANGLORE Akamai Banglore Office ASN,IN
23905   | NZ | apnic    | 2003-10-01 | VUW-AS-AP Victoria University of Wellington,NZ
23908   | KR | apnic    | 2003-10-10 | AIRPORT-AS-KR IIAC,KR
23910   | CN | apnic    | 2003-10-14 | CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2,CN
23911   | CN | apnic    | 2003-10-16 | CNGI-BJIX-AS-AP China Next Generation Internet Beijing IX,CN
23912   | CN | apnic    | 2003-10-16 | IPV6CJ-AS-AP China Japan Joint IPv6 Test Network,CN
23913   | AU | apnic    | 2010-01-12 | BLUEPACKETS-AU Blue Packets Trust,AU
23919   | TH | apnic    | 2003-10-27 | RAMKHAMHAENG-AS-AP Ramkhamhaeng University,TH
23920   | HK | apnic    | 2007-10-29 | TFN-AS-HK-AP Thomson Reuters Hong Kong Limited.,HK
23921   | AU | apnic    | 2003-10-28 | INGDIRECT-AS-AU ING Direct,AU
23922   | AU | apnic    | 2003-10-28 | BHTAFE-EDU-AU Box Hill Institute of TAFE,AU
23923   | BD | apnic    | 2003-10-30 | AGNI-AS Agni Systems Limited,BD
23925   | TH | apnic    | 2005-09-13 | SS-AS Siam Sport Syndicate Public Co.,Ltd.,TH
23926   | JP | apnic    | 2005-09-13 | YAHOO-JP3-AP JP DC,JP
23927   | TH | apnic    | 2005-09-13 | MILCOM-AS-AP Telecommunication Inc.,TH
23929   | JP | apnic    | 2005-09-14 | UBIQUITOUS-AS Ubiquitous Corp. Data Center Network.,JP
23930   | PH | apnic    | 2005-09-15 | IPVG-AS-AP IP-Converge Data Center, Inc.,PH
23932   | TH | apnic    | 2005-09-15 | WINTH-AS-AP Internet Service Provider,TH
23934   | NZ | apnic    | 2005-09-16 | TURNSTONE-NZ-AS-AP Turnstone Technologies LTD NZ AS,NZ
23935   | AU | apnic    | 2005-09-16 | INTELLIGENT-IP-AP Intelligent IP Communications (IIPC),AU
23936   | SG | apnic    | 2009-09-14 | EPSILON-SG 151 Lorong Chuan,SG
23937   |    | apnic    |            | 
23938   | AU | apnic    | 2009-09-17 | ARROWENERGY-AS-AP Arrow Energy Limited,AU
23939   | SG | apnic    | 2008-05-26 | EZNETSOLS-AS-AP EZNETWORKING SOLUTIONS PTE. LTD.,SG
23940   | JP | apnic    | 2005-09-20 | THOMSON-FINANCIAL-TOKYO THOMSON FINANCIAL. Financial Content provider.Tokyo,JP
23941   | IN | apnic    | 2005-09-20 | I2IENTERPRISE-IN i2ienterprise AS Internet Service Provider,IN
23943   | AU | apnic    | 2008-05-28 | HYPERSPIKE-AS-AU-AP Hyperspike Pty Ltd, ,AU
23944   | PH | apnic    | 2008-05-28 | SKYBB-AS-AP SKYBroadband SKYCable Corporation,PH
23946   | ID | apnic    | 2003-11-03 | TOPNET-AS-ID PT Dunia Informasi Teknologi (TOPNET),ID
23947   | ID | apnic    | 2003-11-03 | MORATELINDONAP-AS-ID PT.Mora Telematika Indonesia,ID
23948   | ID | apnic    | 2003-11-03 | ORBICOMNET-AS-ID Global Inti Corporatama PT.,ID
23949   | ID | apnic    | 2003-11-03 | COMNET-AS-ID PT Comtronics Systems,ID
23950   | ID | apnic    | 2003-11-03 | GENID-AS-ID Generasi Indonesia Digital PT.,ID
23951   | ID | apnic    | 2003-11-03 | CITRA-AS-ID PT JEMBATAN CITRA NUSANTARA,ID
23952   | ID | apnic    | 2003-11-03 | THAMRINNET-ISP-ID Internet Service provider PT.,ID
23953   | ID | apnic    | 2003-11-03 | SCBDNET-AS-ID PT ARTHA TELEKOMINDO,ID
23955   | AU | apnic    | 2008-05-29 | BBSAA-AS-AP Bilfinger Berger Services Australia,AU
23956   | BD | apnic    | 2005-03-15 | AMBERIT-BD-AS AmberIT Limited,BD
23957   | IN | apnic    | 2003-11-21 | SPECTRUM-AS-IN Spectrum Softtech Solutions P Ltd.,IN
23962   | VN | apnic    | 2003-11-26 | VNIX-AS-VN Vietnam Internet Network Information Center,VN
23963   | AU | apnic    | 2003-11-28 | BORDERNET-AU-AP Bordernet Internet Pty Ltd,AU
23964   | PH | apnic    | 2003-12-01 | GLOBALSTRIDE-AS-AP Globalstride,PH
23965   | AU | apnic    | 2010-07-21 | CEOSYD-AS-AP Catholic Education Office, Sydney,AU
23966   | PK | apnic    | 2003-12-02 | LDN-AS-PK LINKdotNET Telecom Limited,PK
23967   | JP | apnic    | 2003-12-02 | POD Produce On Demand Inc. Streaming Contents Delivery Service Tokyo,JP
23969   | TH | apnic    | 2008-10-22 | TOT-NET TOT Public Company Limited,TH
23971   | KR | apnic    | 2003-12-10 | CHUGYE-AS-KR CHUGYE UNIVERSITY FOR THE ARTS,KR
23974   | TH | apnic    | 2010-02-09 | MOE-EDNET-AS-AP Ministry of education,TH
23975   | KR | apnic    | 2003-12-12 | YC-AS-KR Yonam Institute of Digital Technology,KR
23976   | IN | apnic    | 2003-12-16 | REVITSYS-AS-IN RevitSystems, Tidel Park,IN
23977   | NZ | apnic    | 2003-12-16 | KATIPO-AS-NZ Katipo Communications Limited,NZ
23979   | SG | apnic    | 2003-12-29 | MR-AS-AP-SG S i2i Ltd.,SG
23980   | KR | apnic    | 2003-12-30 | YU-AS-KR Yeungnam University,KR
23982   | KR | apnic    | 2003-12-30 | SENDB-AS-KR Dongbu District Office of Education in Seoul,KR
23983   | KR | apnic    | 2003-12-30 | DJU-AS-KR Daejeon University,KR
23984   | IN | apnic    | 2004-01-07 | ACSIND-AS-AP Affliated Computer Services of India P Ltd,IN
23985   | HK | apnic    | 2004-01-07 | MS-AP Metro Systems GmbH,HK
23986   | SG | apnic    | 2004-01-08 | MR-AS-AP-HK S i2i Ltd.,SG
23988   | PH | apnic    | 2004-01-09 | PLDTGLOBAL-AS-AP PLDT GLOBAL Corp. Internet-based Services AP,PH
23989   | KR | apnic    | 2004-01-12 | DGUK-AS-KR Dongguk Univ. at Gyeongju,KR
23990   | KR | apnic    | 2004-01-12 | MIGUM-AS-KR MigumCableNetwork,KR
23991   | BD | apnic    | 2004-01-13 | RANKS-AS-BD Ranks ITT Ltd.,BD
23992   | AU | apnic    | 2004-01-14 | OFFIS-AS-AP Offis Pty Ltd,AU
23994   | IN | apnic    | 2005-09-21 | TRANSWORKS-TRANSIT-AS-AP Aditya Birla Minacs Worldwide Ltd,IN
23998   | AU | apnic    | 2005-01-19 | ALPHANET-AS-AP alpha dot net Australia Pty. Ltd.,AU
23999   | VN | apnic    | 2004-01-20 | VNA-AS-VN Vietnam News Agency,VN
24      | US | arin     |            | AS24 - National Aeronautics and Space Administration,US
24002   | HK | apnic    | 2004-01-27 | SCMP-AS-HK-AP South China Morning Post Publishers Limited. English,HK
24003   | IN | apnic    | 2005-04-29 | JUBL-MAIN-AS-IN JUBILANT ORGANOSYS LTD., INDIA, LEADING CHEMICAL MANUFACTURER,IN
24004   | IN | apnic    | 2004-01-27 | SHYAM-AS-IN SHYAM Internet service provider in India.,IN
24005   | NZ | apnic    | 2004-01-28 | SAFENZ-TRANSIT-AS-NZ SafeNZ Networks LTD,NZ
24006   | NZ | apnic    | 2004-01-28 | KNOSSOS-AS-NZ Knossos Networks Limited,NZ
24007   | AU | apnic    | 2004-01-30 | SEVEN-AS-AP Seven Network ASN,AU
24008   | AU | apnic    | 2004-02-02 | HANSEN-AU Hansen Technologies Doncaster,AU
24010   | HK | apnic    | 2004-02-05 | HELLMANN-HK-AP Hellmann Worldwide Logistics.,HK
24012   | SG | apnic    | 2009-10-23 | THOMSONREUTERS-SG 18 Science Park Drive,SG
24015   | AU | apnic    | 2005-09-22 | SPINETWORKS-AS-AP SPI Networks, Electricity Distribution, Victoria,AU
24016   | MV | apnic    | 2004-02-09 | ROL-MV-AS-AP Focus Infocom Pvt Ltd, ISP, Male Maldives,MV
24017   | AU | apnic    | 2004-02-11 | FOXTEL-AS-AU-AP Foxtel Management Pty Ltd,AU
24020   | MY | apnic    | 2004-02-12 | UITM-AS-AP University ITM, Shah Alam, Selangor Malaysia,MY
24023   | HK | apnic    | 2005-09-27 | JNPR-APAC-AS-AP Juniper Networks HK Ltd.,HK
24024   | SG | apnic    | 2004-02-25 | GM-AP-HOLDEN GENERAL MOTORS OVERSEAS DISTRIBUTION LLC,SG
24026   | KR | apnic    | 2004-03-01 | SUNGHWA-AS-KR Sunghwa Colege,KR
24027   | KR | apnic    | 2004-03-01 | CUE-AS-KR Chinju National University of Education,KR
24028   | MY | apnic    | 2004-03-02 | CNXNET-AS-MY REDtone,MY
24030   | SG | apnic    | 2004-03-08 | SCHENKER-AS-SG Schenker (Asia Pacific) Pte Ltd,SG
24032   | AU | apnic    | 2004-03-10 | AC3-AS ac3, Australian Centre for Advanced Computing and,AU
24033   | AU | apnic    | 2007-03-23 | ACTIV8ME-AS-AP Australian Private Networks Pty Ltd,AU
24035   | VN | apnic    | 2004-03-16 | MOFA-AS-VN Ministry of Foreign Affairs of Vietnam - MOFA,VN
24038   | SG | apnic    | 2004-03-25 | FAPL-AS-AP Fujitsu Asia Pte Ltd, NOC and RIM,SG
24039   | AU | apnic    | 2008-05-29 | ITC-GLOBAL-AS-AP ITC Global (Australia),AU
24040   | TH | apnic    | 2004-04-05 | D1-AS-TH DataOne Asia (Thailand) Co.,Ltd.,TH
24041   | IN | apnic    | 2004-04-06 | VCUSTOMER-INDIA-AS-AP VCustomer Services India Pvt Ltd. Transit AS.,IN
24042   | TH | apnic    | 2005-09-29 | BKKAIR-AS-TH-AP Bangkok Airways Co., Ltd.,TH
24043   | HK | apnic    | 2005-09-29 | DATAPIPE-HK-AP DataPipe Hong Kong,HK
24046   | AU | apnic    | 2005-10-07 | PERPETUAL-AP Perpetual Services Pty Ltd,AU
24047   | JP | apnic    | 2004-04-08 | ISC-KIX1 Internet Systems Consortium, Inc.,JP
24048   | ID | apnic    | 2004-04-08 | ISC-CGK1 Internet Systems Consortium, Inc.,ID
24049   | IN | apnic    | 2004-04-08 | ISC-MAA1 Internet Systems Consortium, Inc.,IN
24050   | BD | apnic    | 2004-04-08 | ISC-DAC1 Internet Systems Consortium, Inc.,BD
24051   | PK | apnic    | 2004-04-08 | ISC-KHI1 Internet Systems Consortium, Inc.,PK
24054   | NZ | apnic    | 2008-05-30 | AIRNZ-AS-AP Air New Zealand Limited,NZ
24055   | IN | apnic    | 2007-07-04 | DB-APAC-IN-AS Deutsche Bank AG-India Internet AS,IN
24057   | ID | apnic    | 2004-04-22 | AIGL-AS-AP PT. AIA FINANCIAL, Insurance company, Indonesia,ID
24058   | HK | apnic    | 2004-04-23 | ITPARTNERS-AS-HK-AP IT Partners Limited,HK
24059   | CN | apnic    | 2005-10-11 | CMNET2-AS-AP China Mobile communications corporation,CN
24060   | TH | apnic    | 2004-05-04 | KCS-TH-AS KRUNG THAI COMPUTER SERVICES,TH
24061   | AU | apnic    | 2005-10-11 | DIDATA-AS-AU-AP Dimension Data,AU
24063   | MY | apnic    | 2004-05-11 | DOCOMOINTERTOUCH-IN DOCOMO interTouch - India Operation,MY
24065   | AU | apnic    | 2008-07-04 | JV14-AS-AP PO Box 848,AU
24066   | VN | apnic    | 2004-05-26 | VNNIC-AS-VN Vietnam Internet Network Information Center,VN
24068   | MY | apnic    | 2004-05-27 | REDTONE-MY-AS Broadband Service Provider,MY
24069   | AU | apnic    | 2004-05-27 | STAPLES-AS-AP 163 O_Riordan Street Mascot,AU
24074   | NZ | apnic    | 2004-06-04 | NZPOST-NZ-AP New Zealand Post,NZ
24075   | SG | apnic    | 2004-06-07 | MOE-NET-SG-AP MINISTRY OF EDUCATION, SINGAPORE,SG
24077   | HK | apnic    | 2005-10-13 | TMHK-TRANSIT-AS-HK-AP TMHK Global Transit,HK
24079   | PH | apnic    | 2004-06-10 | DATAONE-PH-AS-AP DATAONE ASIA PHILIPPINES, INTERNET DATA,PH
24080   | IN | apnic    | 2004-06-15 | ROSEITS-AS-IN Rose IT Solutions,IN
24081   | PH | apnic    | 2004-06-16 | SPITECH-AS SPI Technologies Inc.,PH
24083   | TH | apnic    | 2004-06-21 | SCCC-TH Siam City Cement Public Company Limited,TH
24084   | IN | apnic    | 2011-07-15 | HCL-TECH-IN PLOT NO: 3A, SECTOR 126, SEZ, NOIDA,IN
24085   | VN | apnic    | 2004-06-22 | QTSC-AS-VN Quang Trung Software City Development Company,VN
24086   | VN | apnic    | 2004-06-22 | VIETTEL-AS-VN Viettel Corporation,VN
24087   | VN | apnic    | 2004-06-22 | VNGT-AS-AP Vietnam New Generation Telecom,VN
24088   | VN | apnic    | 2004-06-22 | HANOITELECOM-AS-AP Hanoi Telecom Joint Stock Company - HCMC Branch,VN
24089   | VN | apnic    | 2004-06-22 | VNNIC-AS-AP Vietnam Internet Network Information Center,VN
24090   | MY | apnic    | 2005-10-14 | UNISAINS-AS-AP Universiti Sains Malaysia (USM),MY
24092   | AU | apnic    | 2010-06-22 | MOORECOLLEGE-AS-AP Moore Theological College,AU
24093   | AU | apnic    | 2004-07-05 | BIGAIR-AP BIGAIR. Multihoming ASN,AU
24095   | PH | apnic    | 2004-07-06 | VITRO-INTERNET-EXCHANGE ePLDT - Vitro Internet Data Center,PH
24097   | TH | apnic    | 2007-10-08 | MAGNECOMP-CSLOXINFO-AS-TH-AP CSLOXINFO Project for Magnecomp Precision,TH
24098   | AU | apnic    | 2007-11-23 | ETHERWAVE-AS Fish Telecom Pty. Ltd.,AU
24101   | AU | apnic    | 2004-07-16 | UNE-AS-AP University of New England,AU
24102   | PH | apnic    | 2006-04-21 | PEOPLESUPPORT-AS-CEBU-AP PeopleSupport Inc.,PH
24103   | IN | apnic    | 2004-07-21 | GREENFIELD-AS-AP ToLuna is in to Online Data Collection for Market Research,IN
24105   | AU | apnic    | 2004-07-22 | UNWIRED-CORE-AP Unwired Group, Fixed Wireless Broadband Access, Sydney,AU
24106   | PH | apnic    | 2004-07-23 | DMPI-AS-AP DMPI, Digitel Mobile Philippines Inc.,PH
24107   | NZ | apnic    | 2007-11-20 | COMMARC-ASN-AP CommArc Consulting Ltd AS,NZ
24109   | IN | apnic    | 2004-07-28 | WNSNET WNS Global Services,IN
24110   | AU | apnic    | 2004-07-30 | SEMA-AS-AP Sema Operations Pty Limited, Australian AS,AU
24111   | NZ | apnic    | 2004-07-30 | NZWIRELESS-CO-NZ-AS-AP nzwireless LTD,NZ
24112   | HK | apnic    | 2004-08-02 | SCB-AS-HK-AP Standard Chartered Bank (Hong Kong) Limited,HK
24118   | AU | apnic    | 2005-10-18 | VIRTELA1-AS-AP-1 Virtela Communications,AU
24120   | AU | apnic    | 2004-08-06 | AEMO-INET-AS-AU Australian Energy Market Operator LTD,AU
24121   | JP | apnic    | 2004-08-09 | ASN-EQIX-OSAKA-AP Equinix Asia Pacific,JP
24122   | BD | apnic    | 2004-08-09 | BDCOM-BD-AS-AP BDCOM Online Limited,BD
24125   | AU | apnic    | 2011-12-13 | ELDERS-LIMITED-AS-AP Elders Limited, Rural Services Provider,AU
24126   | AU | apnic    | 2008-02-07 | UNISYS-AP-UI-AS-AP Unisys AsiaPac Intranet Access to Internet,AU
24127   | IN | apnic    | 2004-08-10 | IENERGIZER-AS-IN iEnergizer,IN
24128   | TH | apnic    | 2004-08-13 | PHUKETINTERNET-AS Phuket Internet Co.. Ltd,TH
24129   | AU | apnic    | 2004-08-17 | OFFICELINK-AS-AP OfficeLink Plus Pty Ltd,AU
24130   | AU | apnic    | 2004-08-19 | TPG-AU TPG Internet Pty Ltd.,AU
24134   | CN | apnic    | 2004-08-23 | CNNIC-CNLINKNET-AP CNLink Networks Ltd.,CN
24137   | CN | apnic    | 2004-08-23 | CNNIC-HNPCNET-AP HeNan Ping Coal Group,CN
24138   | CN | apnic    | 2004-08-23 | CRNET_BJ_IDC-CNNIC-AP China Tietong Telecommunication Corporation,CN
24139   | CN | apnic    | 2004-08-23 | CNNIC-WASU-AP WASU TV & Communication Holding Co.,Ltd.,CN
24141   | CN | apnic    | 2004-08-23 | CNNIC-DMTNET-AP Shanghai DMT Information Network cor.,LTD.,CN
24143   | CN | apnic    | 2004-08-23 | CNNIC-QCN-AP Qingdao Cable TV Network Center,CN
24147   | CN | apnic    | 2004-08-23 | CNNIC-CBDTELENET-AP BEIJING CBD TELECOM CO,.LTD,CN
24151   | CN | apnic    | 2004-08-23 | CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
24154   | TW | apnic    | 2005-07-11 | APBT-AS-TW Asia Pacific Broadband Fixed Lines Co., Ltd.,TW
24155   | TW | apnic    | 2005-07-11 | APBW-AS-TW Asia Pacific Broadband Wireless Communications Inc,TW
24157   | TW | apnic    | 2005-07-11 | VIBO-NET-AS Vibo Telecom Inc.,TW
24158   | TW | apnic    | 2005-07-11 | TAIWANMOBILE-AS Taiwan Mobile Co., Ltd.,TW
24160   | TW | apnic    | 2005-07-11 | CHIMEI-AS Chi Mei Corporation,TW
24163   | TW | apnic    | 2005-07-11 | UBBNET-AS-TW UNION BROADBAND NETWORK,TW
24164   | TW | apnic    | 2005-07-11 | YJL-MEDIATV-NET YEONG JIA LEH CABLE TV CO., LTD.,TW
24165   | TW | apnic    | 2005-07-11 | PHOENIX-NET-TW PHOENIX CATV CO.,LTD,TW
24167   | TW | apnic    | 2005-07-11 | ASGCNET Academia Sinica Grid Computing Center,TW
24168   | TW | apnic    | 2005-07-11 | WEBTAIWAN-AS-TW WIS Internet Inc,TW
24173   | VN | apnic    | 2005-10-14 | NETNAM-AS-AP Netnam Company,VN
24174   | VN | apnic    | 2005-10-14 | EAB-AS-AP Eastern Asia Comercial Bank,VN
24175   | VN | apnic    | 2005-10-14 | VINAREN-AS-AP VietNam Research and Education Network,VN
24176   | VN | apnic    | 2005-10-14 | NETNAMHCMC-AS-AP Branch of Netnam Company in Ho Chi Minh City,VN
24178   | IN | apnic    | 2005-10-24 | GODREJ-AS-IN Godrej Infotech limited,IN
24179   | PH | apnic    | 2005-10-24 | IMI-AS-AP IMI, Manufacturing Semiconductors and Electronics,PH
2418    | EU | ripencc  |            | FR-ASNBLOCK2 FR-MAN-SOPHIA-ANTIPOLIS,FR
24182   | HK | apnic    | 2005-10-27 | INTERPUBLIC-AS-GISAP-AS Interpublic GIS,HK
